"",BBFB1.Q.N.DE.BE.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:55,
1991-01,203.513,
1991-04,202.592,
1991-07,201.940,
1991-10,168.108,
1992-01,42.469,
1992-04,37.251,
1992-07,38.652,
1992-10,-38.981,
1993-01,6.432,
1993-04,4.354,
1993-07,6.432,
1993-10,-22.407,
1994-01,86.984,
1994-04,86.515,
1994-07,85.416,
1994-10,84.273,
1995-01,28.970,
1995-04,30.868,
1995-07,31.362,
1995-10,32.986,
1996-01,158.602,
1996-04,116.306,
1996-07,162.148,
1996-10,161.125,
1997-01,-50.876,
1997-04,-51.080,
1997-07,-51.691,
1997-10,-51.607,
1998-01,-41.481,
1998-04,-38.568,
1998-07,-40.458,
1998-10,-85.899,
1999-01,138.554,
1999-04,142.062,
1999-07,139.084,
1999-10,138.947,
2000-01,162.000,
2000-04,164.000,
2000-07,165.000,
2000-10,164.533,
2001-01,23.708,
2001-04,-303.151,
2001-07,-96.255,
2001-10,-374.292,
2002-01,87.399,
2002-04,-13.144,
2002-07,-184.910,
2002-10,-504.356,
2003-01,184.343,
2003-04,183.957,
2003-07,220.376,
2003-10,-154.201,
2004-01,291.693,
2004-04,43.148,
2004-07,167.013,
2004-10,223.196,
2005-01,300.272,
2005-04,105.288,
2005-07,188.011,
2005-10,63.015,
2006-01,358.275,
2006-04,205.302,
2006-07,392.180,
2006-10,181.586,
2007-01,187.794,
2007-04,357.450,
2007-07,261.105,
2007-10,113.168,
2008-01,254.065,
2008-04,106.453,
2008-07,-5.903,
2008-10,79.396,
2009-01,487.931,
2009-04,373.697,
2009-07,407.697,
2009-10,430.641,
2010-01,376.828,
2010-04,327.372,
2010-07,307.784,
2010-10,316.976,
2011-01,524.698,
2011-04,508.938,
2011-07,493.184,
2011-10,475.411,
2012-01,597.435,
2012-04,504.825,
2012-07,498.725,
2012-10,515.019,
2013-01,352.240,
2013-04,408.649,
2013-07,433.526,
2013-10,436.365,
2014-01,504.409,Provisional value
2014-04,442.083,Provisional value
2014-07,475.853,Provisional value
2014-10,-2561.386,Provisional value
