"",BBK01.OEAG03K,BBK01.OEAG03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:20,
2002-01,4.851,
2002-04,4.742,
2002-07,5.909,
2002-10,6.114,
2003-01,6.108,
2003-04,6.157,
2003-07,6.191,
2003-10,6.089,
2004-01,5.807,
2004-04,5.564,
2004-07,5.123,
2004-10,3.942,
2005-01,4.243,
2005-04,4.840,
2005-07,4.247,
2005-10,4.174,
2006-01,4.353,
2006-04,4.105,
2006-07,4.074,
2006-10,3.570,
2007-01,3.557,
2007-04,4.293,
2007-07,4.090,
2007-10,4.281,
2008-01,4.293,
2008-04,4.040,
2008-07,3.831,
2008-10,3.620,
2009-01,3.496,
2009-04,3.225,
2009-07,3.193,
2009-10,2.984,
2010-01,2.798,
2010-04,2.685,
2010-07,2.721,
2010-10,2.644,
2011-01,3.245,
2011-04,2.985,
2011-07,2.889,
2011-10,2.996,
2012-01,2.664,
2012-04,1.824,
2012-07,2.338,
2012-10,3.137,
2013-01,2.856,
2013-04,2.996,
2013-07,2.422,
2013-10,2.435,
2014-01,2.458,
2014-04,2.327,
2014-07,2.260,
