"",BBK01.OELL05L,BBK01.OELL05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:07,
2002-01,0.740,
2002-04,0.768,
2002-07,0.781,
2002-10,0.778,
2003-01,0.762,
2003-04,0.743,
2003-07,0.779,
2003-10,0.776,
2004-01,0.777,
2004-04,0.752,
2004-07,0.758,
2004-10,0.800,
2005-01,0.781,
2005-04,0.755,
2005-07,0.736,
2005-10,0.748,
2006-01,0.781,
2006-04,0.798,
2006-07,0.796,
2006-10,0.780,
2007-01,0.769,
2007-04,0.717,
2007-07,0.691,
2007-10,0.672,
2008-01,0.631,
2008-04,0.613,
2008-07,0.582,
2008-10,0.556,
2009-01,0.522,
2009-04,0.494,
2009-07,0.520,
2009-10,0.596,
2010-01,0.620,
2010-04,0.619,
2010-07,0.607,
2010-10,0.613,
2011-01,0.650,
2011-04,0.671,
2011-07,0.694,
2011-10,0.700,
2012-01,0.671,
2012-04,0.639,
2012-07,0.608,
2012-10,0.555,
2013-01,0.508,
2013-04,0.484,
2013-07,0.462,
2013-10,0.478,
2014-01,0.478,
2014-04,0.472,
2014-07,0.452,
