"",BBSF2.M.1.S.I0002.GEM01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.GEM01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Sales receipts / Pension fund institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:55,
2009-09,1315,
2009-10,365,
2009-11,173,
2009-12,1785,
2010-01,289,
2010-02,210,
2010-03,394,
2010-04,644,
2010-05,813,
2010-06,561,
2010-07,460,
2010-08,582,
2010-09,301,
2010-10,439,
2010-11,575,
2010-12,1448,
2011-01,283,
2011-02,4700,
2011-03,234,
2011-04,163,
2011-05,266,
2011-06,169,
2011-07,156,
2011-08,122,
2011-09,277,
2011-10,247,
2011-11,546,
2011-12,924,
2012-01,1995,
2012-02,404,
2012-03,849,
2012-04,199,
2012-05,562,
2012-06,514,
2012-07,1243,
2012-08,522,
2012-09,251,
2012-10,313,
2012-11,1442,
2012-12,2508,
2013-01,396,
2013-02,587,
2013-03,948,
2013-04,392,
2013-05,746,
2013-06,628,
2013-07,1547,
2013-08,837,
2013-09,245,
2013-10,410,
2013-11,397,
2013-12,1976,
2014-01,1058,
2014-02,433,
2014-03,604,
2014-04,311,
2014-05,581,
2014-06,287,
2014-07,414,
2014-08,578,
2014-09,510,
2014-10,609,
2014-11,675,
