"",BBSF2.M.1.T.00000.ALT01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.ALT01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Pension investment funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:05,
2009-09,-3,
2009-10,0,
2009-11,-1,
2009-12,-4,
2010-01,-1,
2010-02,-1,
2010-03,-2,
2010-04,-3,
2010-05,-3,
2010-06,-2,
2010-07,-2,
2010-08,-25,
2010-09,-4,
2010-10,8,
2010-11,6,
2010-12,-2,
2011-01,7,
2011-02,4,
2011-03,-2,
2011-04,7,
2011-05,8,
2011-06,2,
2011-07,-1,
2011-08,4,
2011-09,9,
2011-10,5,
2011-11,3,
2011-12,29,
2012-01,1,
2012-02,-8,
2012-03,-17,
2012-04,-5,
2012-05,-5,
2012-06,-6,
2012-07,-6,
2012-08,-9,
2012-09,-7,
2012-10,-4,
2012-11,-44,
2012-12,33,
2013-01,-8,
2013-02,-6,
2013-03,-13,
2013-04,-21,
2013-05,-11,
2013-06,-6,
2013-07,-5,
2013-08,-4,
2013-09,-5,
2013-10,-5,
2013-11,-8,
2013-12,-8,
2014-01,-6,
2014-02,-4,
2014-03,-7,
2014-04,-2,
2014-05,-3,
2014-06,-6,
2014-07,-2,
2014-08,-3,
2014-09,-5,
2014-10,-1,
2014-11,-3,
