"",BBK01.OECI06L,BBK01.OECI06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:54,
2002-01,0.210,
2002-04,0.210,
2002-07,0.199,
2002-10,0.192,
2003-01,0.188,
2003-04,0.189,
2003-07,0.189,
2003-10,0.181,
2004-01,0.176,
2004-04,0.177,
2004-07,0.176,
2004-10,0.172,
2005-01,0.170,
2005-04,0.163,
2005-07,0.165,
2005-10,0.136,
2006-01,0.142,
2006-04,0.138,
2006-07,0.136,
2006-10,3.069,
2007-01,3.060,
2007-04,3.622,
2007-07,4.380,
2007-10,4.872,
2008-01,5.879,
2008-04,7.700,
2008-07,8.212,
2008-10,8.184,
2009-01,8.480,
2009-04,8.213,
2009-07,9.320,
2009-10,9.419,
2010-01,9.768,
2010-04,10.286,
2010-07,9.721,
2010-10,9.858,
2011-01,9.535,
2011-04,9.510,
2011-07,9.882,
2011-10,10.077,
2012-01,9.960,
2012-04,10.235,
2012-07,10.167,
2012-10,10.128,
2013-01,10.271,
2013-04,10.068,
2013-07,9.864,
2013-10,9.777,
2014-01,8.225,
2014-04,8.251,
2014-07,8.651,
