"",BBK01.OEAD25H,BBK01.OEAD25H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:52,
2002-01,0.369,
2002-04,0.346,
2002-07,0.394,
2002-10,0.380,
2003-01,0.311,
2003-04,0.313,
2003-07,0.312,
2003-10,0.298,
2004-01,0.297,
2004-04,0.318,
2004-07,0.315,
2004-10,0.316,
2005-01,0.311,
2005-04,0.319,
2005-07,0.326,
2005-10,0.319,
2006-01,0.310,
2006-04,0.286,
2006-07,0.269,
2006-10,0.271,
2007-01,0.277,
2007-04,0.280,
2007-07,0.286,
2007-10,0.274,
2008-01,0.290,
2008-04,0.346,
2008-07,0.367,
2008-10,0.332,
2009-01,0.322,
2009-04,0.334,
2009-07,0.336,
2009-10,0.350,
2010-01,0.358,
2010-04,0.400,
2010-07,0.393,
2010-10,0.410,
2011-01,0.339,
2011-04,0.381,
2011-07,0.570,
2011-10,0.566,
2012-01,0.582,
2012-04,0.592,
2012-07,0.651,
2012-10,0.789,
2013-01,0.818,
2013-04,0.848,
2013-07,0.839,
2013-10,0.841,
2014-01,0.712,
2014-04,0.730,
2014-07,0.757,
