"",BBK01.OEBM02L,BBK01.OEBM02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:23,
2002-01,0.545,
2002-04,0.995,
2002-07,1.108,
2002-10,0.584,
2003-01,1.626,
2003-04,1.837,
2003-07,1.471,
2003-10,0.685,
2004-01,1.801,
2004-04,2.226,
2004-07,1.610,
2004-10,0.965,
2005-01,2.137,
2005-04,2.450,
2005-07,1.128,
2005-10,1.080,
2006-01,1.964,
2006-04,1.169,
2006-07,0.897,
2006-10,1.696,
2007-01,1.702,
2007-04,1.525,
2007-07,1.774,
2007-10,2.050,
2008-01,1.599,
2008-04,2.251,
2008-07,1.138,
2008-10,0.984,
2009-01,2.406,
2009-04,2.632,
2009-07,1.608,
2009-10,1.167,
2010-01,1.871,
2010-04,1.641,
2010-07,1.764,
2010-10,1.739,
2011-01,2.210,
2011-04,2.327,
2011-07,1.920,
2011-10,1.880,
2012-01,1.832,
2012-04,1.516,
2012-07,2.137,
2012-10,1.475,
2013-01,1.142,
2013-04,0.880,
2013-07,1.309,
2013-10,1.594,
2014-01,0.956,
2014-04,1.050,
2014-07,1.654,
