"",BBK01.CEHT2Q,BBK01.CEHT2Q_FLAGS
"",Savings deposits (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:04,
1991-01,-3.0,
1991-04,-1.6,
1991-07,-1.4,
1991-10,7.0,
1992-01,-0.2,
1992-04,2.6,
1992-07,1.7,
1992-10,6.0,
1993-01,9.3,
1993-04,7.7,
1993-07,10.2,
1993-10,20.0,
1994-01,10.9,
1994-04,9.2,
1994-07,10.4,
1994-10,11.7,
1995-01,9.3,
1995-04,12.0,
1995-07,14.2,
1995-10,19.6,
1996-01,21.8,
1996-04,8.7,
1996-07,7.4,
1996-10,12.4,
1997-01,11.5,
1997-04,1.9,
1997-07,3.5,
1997-10,3.1,
1998-01,7.0,
1998-04,-0.7,
1998-07,2.5,
1998-10,6.1,
1999-01,4.3,
1999-04,-1.1,
1999-07,-1.9,
1999-10,-5.7,
2000-01,-10.0,
2000-04,-13.0,
2000-07,-6.5,
2000-10,-11.2,
2001-01,-2.9,
2001-04,-2.1,
2001-07,1.2,
2001-10,5.1,
2002-01,0.0,
2002-04,-8.7,
2002-07,3.1,
2002-10,5.3,
2003-01,7.5,
2003-04,0.6,
2003-07,4.5,
2003-10,1.6,
2004-01,4.2,
2004-04,1.6,
2004-07,4.4,
2004-10,2.4,
2005-01,3.6,
2005-04,0.0,
2005-07,-0.8,
2005-10,-5.0,
2006-01,1.0,
2006-04,-2.2,
2006-07,-5.3,
2006-10,-10.6,
2007-01,-4.4,
2007-04,-8.3,
2007-07,-8.3,
2007-10,-10.0,
2008-01,-7.8,
2008-04,-6.7,
2008-07,-10.5,
2008-10,5.3,
2009-01,16.4,
2009-04,15.1,
2009-07,18.5,
2009-10,10.0,
2010-01,12.6,
2010-04,2.0,
2010-07,3.9,
2010-10,5.9,
2011-01,7.6,
2011-04,-4.4,
2011-07,-2.1,
2011-10,-3.6,
2012-01,5.9,
2012-04,-1.0,
2012-07,0.1,
2012-10,-3.0,
2013-01,-1.9,
2013-04,-3.5,
2013-07,-2.1,
2013-10,-0.6,
2014-01,-0.5,
