"",BBK01.OEYM08G,BBK01.OEYM08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:45:14,
2002-01,0.046,
2002-04,0.041,
2002-07,0.092,
2002-10,0.091,
2003-01,0.068,
2003-04,0.074,
2003-07,0.086,
2003-10,0.055,
2004-01,0.051,
2004-04,0.059,
2004-07,0.126,
2004-10,0.099,
2005-01,0.085,
2005-04,0.083,
2005-07,0.175,
2005-10,0.160,
2006-01,0.141,
2006-04,0.152,
2006-07,0.143,
2006-10,0.063,
2007-01,0.072,
2007-04,0.050,
2007-07,0.022,
2007-10,0.015,
2008-01,0.017,
2008-04,0.010,
2008-07,0.008,
2008-10,0.025,
2009-01,0.082,
2009-04,0.101,
2009-07,0.153,
2009-10,0.119,
2010-01,0.117,
2010-04,0.122,
2010-07,0.148,
2010-10,0.137,
2011-01,0.145,
2011-04,0.161,
2011-07,0.186,
2011-10,0.127,
2012-01,0.134,
2012-04,0.174,
2012-07,0.184,
2012-10,0.283,
2013-01,0.271,
2013-04,0.365,
2013-07,0.387,
2013-10,0.376,
2014-01,0.394,
2014-04,0.418,
2014-07,0.339,
