"",BBK01.WXI038,BBK01.WXI038_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:06,
2009-09,5187,
2009-10,4964,
2009-11,5354,
2009-12,5527,
2010-01,5227,
2010-02,5045,
2010-03,4775,
2010-04,5015,
2010-05,5362,
2010-06,5381,
2010-07,4973,
2010-08,5475,
2010-09,5475,
2010-10,5377,
2010-11,5389,
2010-12,5084,
2011-01,5521,
2011-02,5262,
2011-03,5317,
2011-04,5326,
2011-05,4909,
2011-06,4515,
2011-07,4597,
2011-08,5068,
2011-09,4564,
2011-10,4912,
2011-11,4933,
2011-12,4665,
2012-01,4656,
2012-02,4725,
2012-03,4170,
2012-04,4244,
2012-05,5299,
2012-06,4670,
2012-07,4286,
2012-08,5008,
2012-09,4619,
2012-10,4411,
2012-11,4794,
2012-12,5241,
2013-01,5545,
2013-02,4883,
2013-03,4719,
2013-04,4974,
2013-05,4800,
2013-06,5037,
2013-07,4919,
2013-08,5237,
2013-09,5316,
2013-10,5155,
2013-11,5232,
2013-12,5327,
2014-01,4916,
2014-02,5373,
2014-03,4894,
2014-04,5088,
2014-05,5507,
2014-06,5280,
2014-07,5872,
2014-08,7535,
2014-09,8586,
2014-10,8626,
2014-11,9139,
