"",BBK01.OEBB21I,BBK01.OEBB21I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:56,
2002-01,1.578,
2002-04,1.241,
2002-07,1.213,
2002-10,1.246,
2003-01,1.160,
2003-04,1.100,
2003-07,1.905,
2003-10,1.169,
2004-01,2.107,
2004-04,1.087,
2004-07,1.238,
2004-10,1.104,
2005-01,2.297,
2005-04,1.989,
2005-07,1.970,
2005-10,1.814,
2006-01,1.613,
2006-04,1.591,
2006-07,1.343,
2006-10,1.274,
2007-01,1.248,
2007-04,1.280,
2007-07,1.326,
2007-10,1.297,
2008-01,1.215,
2008-04,1.246,
2008-07,1.232,
2008-10,1.099,
2009-01,1.036,
2009-04,1.061,
2009-07,1.110,
2009-10,1.198,
2010-01,1.392,
2010-04,1.464,
2010-07,2.011,
2010-10,2.039,
2011-01,1.970,
2011-04,1.819,
2011-07,1.748,
2011-10,1.824,
2012-01,1.781,
2012-04,1.843,
2012-07,2.131,
2012-10,2.259,
2013-01,2.400,
2013-04,2.913,
2013-07,2.663,
2013-10,2.680,
2014-01,3.048,
2014-04,2.899,
2014-07,2.898,
