"",BBK01.OEYB16T,BBK01.OEYB16T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:45,
2002-01,0.032,
2002-04,0.032,
2002-07,0.019,
2002-10,0.028,
2003-01,0.030,
2003-04,0.030,
2003-07,0.030,
2003-10,0.032,
2004-01,0.075,
2004-04,0.075,
2004-07,0.073,
2004-10,0.074,
2005-01,0.072,
2005-04,0.076,
2005-07,0.092,
2005-10,0.099,
2006-01,0.100,
2006-04,0.101,
2006-07,0.104,
2006-10,0.157,
2007-01,0.154,
2007-04,0.158,
2007-07,0.161,
2007-10,0.149,
2008-01,0.151,
2008-04,0.155,
2008-07,0.154,
2008-10,0.155,
2009-01,0.157,
2009-04,0.155,
2009-07,0.153,
2009-10,0.156,
2010-01,0.155,
2010-04,0.151,
2010-07,0.151,
2010-10,0.148,
2011-01,0.149,
2011-04,0.148,
2011-07,0.153,
2011-10,0.152,
2012-01,0.153,
2012-04,0.151,
2012-07,0.149,
2012-10,0.150,
2013-01,0.149,
2013-04,0.147,
2013-07,0.142,
2013-10,0.140,
2014-01,0.148,
2014-04,0.141,
2014-07,0.139,
