"",BBFI1.M.N.DE.W0.S121.S1.FP.FO.RT11.RT.FR6.TS.X1.N.N,BBFI1.M.N.DE.W0.S121.S1.FP.FO.RT11.RT.FR6.TS.X1.N.N_FLAGS
"","Reserve template (mthly.) - Currency, loans, securities and deposits - Future Flows, predetermined",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:13,
1999-12,-17,
2000-01,-17,
2000-02,-16,
2000-03,-14,
2000-04,-15,
2000-05,-14,
2000-06,-17,
2000-07,-16,
2000-08,-17,
2000-09,-20,
2000-10,-19,
2000-11,-17,
2000-12,-12,
2001-01,-10,
2001-02,-11,
2001-03,-9,
2001-04,-12,
2001-05,-18,
2001-06,-10,
2001-07,-17,
2001-08,-10,
2001-09,-8,
2001-10,-15,
2001-11,-13,
2001-12,-11,
2002-01,-11,
2002-02,-11,
2002-03,-10,
2002-04,-12,
2002-05,-11,
2002-06,-9,
2002-07,-24,
2002-08,-12,
2002-09,-13,
2002-10,-36,
2002-11,-17,
2002-12,-13,
2003-01,-16,
2003-02,-17,
2003-03,-14,
2003-04,-13,
2003-05,-13,
2003-06,-14,
2003-07,-16,
2003-08,-13,
2003-09,-13,
2003-10,-13,
2003-11,-9,
2003-12,-9,
2004-01,-9,
2004-02,-7,
2004-03,-6,
2004-04,-6,
2004-05,-6,
2004-06,-6,
2004-07,-7,
2004-08,-6,
2004-09,-6,
2004-10,-6,
2004-11,-6,
2004-12,-6,
2005-01,-7,
2005-02,-37,
2005-03,-36,
2005-04,-6,
2005-05,-6,
2005-06,-6,
2005-07,-7,
2005-08,-7,
2005-09,-7,
2005-10,-14,
2005-11,-7,
2005-12,-6,
2006-01,-8,
2006-02,-8,
2006-03,-6,
2006-04,-6,
2006-05,-6,
2006-06,-6,
2006-07,-5,
2006-08,-5,
2006-09,-6,
2006-10,-6,
2006-11,-5,
2006-12,-5,
2007-01,-5,
2007-02,-5,
2007-03,-5,
2007-04,-5,
2007-05,-5,
2007-06,-5,
2007-07,-4,
2007-08,-3,
2007-09,-3,
2007-10,-3,
2007-11,-4,
2007-12,-4,
2008-01,-4,
2008-02,-4,
2008-03,-3,
2008-04,-3,
2008-05,-2,
2008-06,-3,
2008-07,-3,
2008-08,-3,
2008-09,-3,
2008-10,-13788,
2008-11,-15458,
2008-12,-19463,
2009-01,-14870,
2009-02,-9143,
2009-03,-12,
2009-04,-21,
2009-05,-65,
2009-06,-8,
2009-07,-16,
2009-08,-8,
2009-09,-4,
2009-10,-41,
2009-11,-20,
2009-12,-36,
2010-01,-5,
2010-02,-10,
2010-03,-11,
2010-04,-7,
2010-05,-37,
2010-06,-19,
2010-07,-6,
2010-08,-18,
2010-09,-10,
2010-10,-13,
2010-11,-13,
2010-12,-15,
2011-01,-14,
2011-02,-14,
2011-03,-19,
2011-04,-11,
2011-05,-11,
2011-06,-11,
2011-07,-11,
2011-08,-11,
2011-09,-12,
2011-10,-12,
2011-11,-13,
2011-12,-7,
2012-01,-6,
2012-02,-6,
2012-03,-7,
2012-04,-4,
2012-05,-5,
2012-06,-6,
2012-07,-9,
2012-08,-7,
2012-09,-10,
2012-10,-3,
2012-11,-3,
2012-12,-3,
2013-01,-9,
2013-02,-3,
2013-03,-3,
2013-04,-3,
2013-05,-3,
2013-06,-4,
2013-07,-3,
2013-08,-3,
2013-09,-3,
2013-10,-3,
2013-11,-3,
2013-12,-1830,
2014-01,-387,
2014-02,-3,
2014-03,-3,
2014-04,-2,
2014-05,-3,
2014-06,-2,
2014-07,-1,
2014-08,-1,
2014-09,-4,
2014-10,-13,
2014-11,-13,
2014-12,-34,
2015-01,-14,
