"",BBK01.TVE317,BBK01.TVE317_FLAGS
"",Liabilities to non-euro-area residents / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:40,
1997-10,11614,
1997-11,40643,
1997-12,-14019,
1998-01,39466,
1998-02,37468,
1998-03,39790,
1998-04,-5171,
1998-05,-13843,
1998-06,2983,
1998-07,-13341,
1998-08,10246,
1998-09,50091,
1998-10,48007,
1998-11,38925,
1998-12,-83821,
1999-01,151486,
1999-02,-57022,
1999-03,56063,
1999-04,7082,
1999-05,-16829,
1999-06,108968,
1999-07,-42721,
1999-08,-1984,
1999-09,8976,
1999-10,55312,
1999-11,34316,
1999-12,-89820,
2000-01,58982,
2000-02,33323,
2000-03,109075,
2000-04,30341,
2000-05,44136,
2000-06,-70224,
2000-07,9294,
2000-08,14200,
2000-09,39024,
2000-10,20640,
2000-11,26883,
2000-12,-8814,
2001-01,119392,
2001-02,29154,
2001-03,134237,
2001-04,18596,
2001-05,12377,
2001-06,-4788,
2001-07,-58362,
2001-08,29351,
2001-09,18401,
2001-10,18598,
2001-11,38711,
2001-12,-17337,
2002-01,14100,
2002-02,11249,
2002-03,25516,
2002-04,20661,
2002-05,34969,
2002-06,-67489,
2002-07,-5052,
2002-08,-24917,
2002-09,46899,
2002-10,25553,
2002-11,49593,
2002-12,-54497,
2003-01,14652,
2003-02,58803,
2003-03,-8641,
2003-04,49306,
2003-05,8788,
2003-06,-25790,
2003-07,6691,
2003-08,-42042,
2003-09,22247,
2003-10,37976,
2003-11,29132,
2003-12,1690,
2004-01,86225,
2004-02,15336,
2004-03,67804,
2004-04,62103,
2004-05,11440,
2004-06,-40379,
2004-07,-9622,
2004-08,17403,
2004-09,-8394,
2004-10,14018,
2004-11,100050,
2004-12,-30114,
2005-01,93711,
2005-02,53869,
2005-03,60596,
2005-04,105851,
2005-05,26926,
2005-06,-81989,
2005-07,46339,
2005-08,-2968,
2005-09,85400,
2005-10,62087,
2005-11,68487,
2005-12,-89002,
2006-01,127505,
2006-02,40706,
2006-03,75149,
2006-04,98454,
2006-05,44330,
2006-06,-118824,
2006-07,79252,
2006-08,19891,
2006-09,101601,
2006-10,90925,
2006-11,82551,
2006-12,-27650,
2007-01,163341,
2007-02,87772,
2007-03,42203,
2007-04,191860,
2007-05,88824,
2007-06,-50665,
2007-07,63600,
2007-08,44637,
2007-09,76859,
2007-10,152376,
2007-11,66627,
2007-12,-71309,
2008-01,260367,
2008-02,109200,
2008-03,14206,
2008-04,153615,
2008-05,51238,
2008-06,-138362,
2008-07,27884,
2008-08,12408,
2008-09,-20763,
2008-10,-140388,
2008-11,-91505,
2008-12,-147710,
2009-01,35737,
2009-02,-154680,
2009-03,-100810,
2009-04,205,
2009-05,-70461,
2009-06,-93764,
2009-07,-48853,
2009-08,-48940,
2009-09,-20568,
2009-10,2325,
2009-11,12253,
2009-12,-100834,
2010-01,55419,
2010-02,29186,
2010-03,-8318,
2010-04,96386,
2010-05,1735,
2010-06,-162441,
2010-07,-13350,
2010-08,97044,
2010-09,-51174,
2010-10,45759,
2010-11,4857,
2010-12,-138061,
2011-01,72110,
2011-02,10693,
2011-03,-132599,
2011-04,105914,
2011-05,74148,
2011-06,-200340,
2011-07,-20011,
2011-08,44492,
2011-09,-37580,
2011-10,-37917,
2011-11,-40512,
2011-12,-38347,
2012-01,59884,
2012-02,-1935,
2012-03,59712,
2012-04,15600,
2012-05,13512,
2012-06,-102695,
2012-07,-3250,
2012-08,-45784,
2012-09,-34518,
2012-10,-13179,
2012-11,-76835,
2012-12,-121877,
2013-01,27955,
2013-02,-89,
2013-03,-53657,
2013-04,64961,
2013-05,-77586,
2013-06,-92516,
2013-07,-26050,
2013-08,-50115,
2013-09,-55388,
2013-10,31259,
2013-11,-46006,
2013-12,-163796,
2014-01,115965,
2014-02,-16425,
2014-03,-36282,
2014-04,74204,
2014-05,-14622,
2014-06,-103352,
2014-07,33954,
2014-08,-4455,
2014-09,7326,
2014-10,-14447,
2014-11,16327,
2014-12,-109338,
2015-01,211572,
