"",BBK01.OEAA55I,BBK01.OEAA55I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:28,
2002-01,5.055,
2002-04,5.956,
2002-07,4.759,
2002-10,4.530,
2003-01,4.369,
2003-04,3.059,
2003-07,3.014,
2003-10,2.805,
2004-01,2.855,
2004-04,2.780,
2004-07,2.838,
2004-10,2.717,
2005-01,2.783,
2005-04,2.906,
2005-07,2.771,
2005-10,2.792,
2006-01,2.788,
2006-04,2.892,
2006-07,3.935,
2006-10,3.982,
2007-01,4.046,
2007-04,4.111,
2007-07,4.207,
2007-10,4.452,
2008-01,4.849,
2008-04,5.278,
2008-07,5.654,
2008-10,5.741,
2009-01,5.937,
2009-04,6.024,
2009-07,6.024,
2009-10,6.134,
2010-01,6.269,
2010-04,7.147,
2010-07,6.812,
2010-10,7.603,
2011-01,8.009,
2011-04,7.971,
2011-07,8.561,
2011-10,10.575,
2012-01,10.411,
2012-04,9.063,
2012-07,9.217,
2012-10,9.050,
2013-01,8.958,
2013-04,8.943,
2013-07,9.111,
2013-10,9.330,
2014-01,8.706,
2014-04,9.071,
2014-07,8.697,
