"",BBK01.OEBB04R,BBK01.OEBB04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:26,
2002-01,6.790,
2002-04,6.834,
2002-07,6.880,
2002-10,6.958,
2003-01,6.720,
2003-04,6.766,
2003-07,6.765,
2003-10,6.846,
2004-01,6.811,
2004-04,6.780,
2004-07,6.778,
2004-10,6.756,
2005-01,7.681,
2005-04,7.711,
2005-07,7.747,
2005-10,7.707,
2006-01,7.752,
2006-04,7.846,
2006-07,7.971,
2006-10,8.055,
2007-01,8.193,
2007-04,8.214,
2007-07,8.297,
2007-10,8.544,
2008-01,18.967,
2008-04,8.770,
2008-07,8.867,
2008-10,9.007,
2009-01,8.972,
2009-04,9.494,
2009-07,9.599,
2009-10,9.861,
2010-01,10.069,
2010-04,10.175,
2010-07,10.408,
2010-10,10.613,
2011-01,10.762,
2011-04,10.862,
2011-07,10.973,
2011-10,11.271,
2012-01,11.417,
2012-04,11.540,
2012-07,11.712,
2012-10,11.916,
2013-01,11.974,
2013-04,12.110,
2013-07,12.247,
2013-10,12.494,
2014-01,12.646,
2014-04,12.570,
2014-07,12.642,
