"",BBK01.OEAD34I,BBK01.OEAD34I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:12,
2002-01,0.064,
2002-04,0.064,
2002-07,0.065,
2002-10,0.077,
2003-01,0.043,
2003-04,0.061,
2003-07,0.063,
2003-10,0.057,
2004-01,0.055,
2004-04,0.069,
2004-07,0.063,
2004-10,0.075,
2005-01,0.074,
2005-04,0.075,
2005-07,0.072,
2005-10,0.070,
2006-01,0.072,
2006-04,0.066,
2006-07,0.079,
2006-10,0.079,
2007-01,0.072,
2007-04,0.070,
2007-07,0.070,
2007-10,0.064,
2008-01,0.071,
2008-04,0.075,
2008-07,0.075,
2008-10,0.057,
2009-01,0.054,
2009-04,0.075,
2009-07,0.074,
2009-10,0.072,
2010-01,0.022,
2010-04,0.021,
2010-07,0.021,
2010-10,0.019,
2011-01,0.057,
2011-04,0.056,
2011-07,0.052,
2011-10,0.049,
2012-01,0.050,
2012-04,0.043,
2012-07,0.038,
2012-10,0.041,
2013-01,0.039,
2013-04,0.037,
2013-07,0.027,
2013-10,0.028,
2014-01,0.024,
2014-04,0.024,
2014-07,0.021,
