"",BBK01.OELM04Q,BBK01.OELM04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:48,
2002-01,0.118,
2002-04,0.113,
2002-07,0.104,
2002-10,0.099,
2003-01,0.109,
2003-04,0.099,
2003-07,0.101,
2003-10,0.110,
2004-01,0.106,
2004-04,0.103,
2004-07,0.100,
2004-10,0.105,
2005-01,0.099,
2005-04,0.104,
2005-07,0.183,
2005-10,0.188,
2006-01,0.143,
2006-04,0.206,
2006-07,0.235,
2006-10,0.226,
2007-01,0.179,
2007-04,0.111,
2007-07,0.121,
2007-10,0.121,
2008-01,0.134,
2008-04,0.152,
2008-07,0.122,
2008-10,0.140,
2009-01,0.171,
2009-04,0.163,
2009-07,0.182,
2009-10,0.168,
2010-01,0.141,
2010-04,0.108,
2010-07,0.123,
2010-10,0.109,
2011-01,0.098,
2011-04,0.119,
2011-07,0.102,
2011-10,0.091,
2012-01,0.087,
2012-04,0.107,
2012-07,0.108,
2012-10,0.099,
2013-01,0.110,
2013-04,0.103,
2013-07,0.102,
2013-10,0.090,
2014-01,0.103,
2014-04,0.162,
2014-07,0.162,
