"",BBK01.OEYB22I,BBK01.OEYB22I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:46,
2002-01,1.055,
2002-04,0.768,
2002-07,0.626,
2002-10,0.771,
2003-01,0.468,
2003-04,0.156,
2003-07,0.165,
2003-10,0.051,
2004-01,0.092,
2004-04,0.024,
2004-07,0.065,
2004-10,0.724,
2005-01,0.073,
2005-04,0.106,
2005-07,0.858,
2005-10,0.864,
2006-01,0.408,
2006-04,0.640,
2006-07,0.632,
2006-10,2.075,
2007-01,0.930,
2007-04,0.617,
2007-07,0.705,
2007-10,1.869,
2008-01,1.090,
2008-04,0.706,
2008-07,0.533,
2008-10,1.027,
2009-01,1.120,
2009-04,0.992,
2009-07,1.343,
2009-10,1.640,
2010-01,1.794,
2010-04,0.861,
2010-07,1.064,
2010-10,0.057,
2011-01,1.046,
2011-04,0.890,
2011-07,0.195,
2011-10,0.746,
2012-01,0.826,
2012-04,0.846,
2012-07,0.995,
2012-10,0.558,
2013-01,0.496,
2013-04,0.558,
2013-07,0.176,
2013-10,0.158,
2014-01,0.178,
2014-04,0.550,
2014-07,0.432,
