"",BBK01.OEAH14L,BBK01.OEAH14L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:08,
2002-01,7.602,
2002-04,6.938,
2002-07,6.953,
2002-10,6.806,
2003-01,6.613,
2003-04,6.383,
2003-07,9.263,
2003-10,5.087,
2004-01,2.877,
2004-04,2.743,
2004-07,2.723,
2004-10,2.650,
2005-01,3.574,
2005-04,3.157,
2005-07,1.321,
2005-10,1.851,
2006-01,1.852,
2006-04,1.929,
2006-07,2.041,
2006-10,2.030,
2007-01,2.020,
2007-04,2.064,
2007-07,2.016,
2007-10,2.329,
2008-01,2.377,
2008-04,2.217,
2008-07,1.784,
2008-10,1.810,
2009-01,1.819,
2009-04,1.893,
2009-07,1.899,
2009-10,1.882,
2010-01,1.810,
2010-04,1.732,
2010-07,1.706,
2010-10,1.668,
2011-01,1.587,
2011-04,1.941,
2011-07,1.885,
2011-10,1.855,
2012-01,1.599,
2012-04,1.528,
2012-07,1.707,
2012-10,1.641,
2013-01,1.598,
2013-04,1.554,
2013-07,1.529,
2013-10,1.517,
2014-01,1.401,
2014-04,1.456,
2014-07,1.886,
