"",BBK01.OELB02V,BBK01.OELB02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:50,
2002-01,0.788,
2002-04,0.810,
2002-07,0.794,
2002-10,0.765,
2003-01,0.773,
2003-04,0.755,
2003-07,0.743,
2003-10,0.678,
2004-01,0.663,
2004-04,0.647,
2004-07,0.640,
2004-10,0.616,
2005-01,0.606,
2005-04,0.573,
2005-07,0.563,
2005-10,0.527,
2006-01,0.523,
2006-04,0.542,
2006-07,0.560,
2006-10,0.513,
2007-01,0.499,
2007-04,0.497,
2007-07,0.507,
2007-10,0.513,
2008-01,0.500,
2008-04,0.516,
2008-07,0.521,
2008-10,0.510,
2009-01,0.516,
2009-04,0.526,
2009-07,0.512,
2009-10,0.472,
2010-01,0.493,
2010-04,0.483,
2010-07,0.479,
2010-10,0.455,
2011-01,0.453,
2011-04,0.463,
2011-07,0.479,
2011-10,0.447,
2012-01,0.462,
2012-04,0.485,
2012-07,0.505,
2012-10,0.513,
2013-01,0.533,
2013-04,0.549,
2013-07,0.561,
2013-10,0.547,
2014-01,0.568,
2014-04,0.608,
2014-07,0.637,
