"",BBK01.OEBK02G,BBK01.OEBK02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:55,
2002-01,2.162,
2002-04,2.535,
2002-07,2.555,
2002-10,2.442,
2003-01,2.640,
2003-04,2.646,
2003-07,2.754,
2003-10,2.723,
2004-01,2.922,
2004-04,2.865,
2004-07,2.817,
2004-10,2.988,
2005-01,1.951,
2005-04,1.926,
2005-07,1.720,
2005-10,1.822,
2006-01,1.842,
2006-04,1.801,
2006-07,1.804,
2006-10,1.621,
2007-01,1.691,
2007-04,1.745,
2007-07,1.777,
2007-10,1.841,
2008-01,1.740,
2008-04,1.663,
2008-07,1.714,
2008-10,1.831,
2009-01,2.061,
2009-04,2.184,
2009-07,2.255,
2009-10,2.309,
2010-01,2.300,
2010-04,2.433,
2010-07,2.356,
2010-10,2.686,
2011-01,2.604,
2011-04,2.703,
2011-07,2.631,
2011-10,2.670,
2012-01,2.808,
2012-04,2.902,
2012-07,3.251,
2012-10,3.242,
2013-01,3.218,
2013-04,3.312,
2013-07,3.570,
2013-10,3.651,
2014-01,3.464,
2014-04,3.377,
2014-07,3.513,
