"",BBFB1.Q.N.DE.TW.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.TW.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Other investment / Taiwan, Province of China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:25,
1991-01,11.116,
1991-04,-4.740,
1991-07,39.481,
1991-10,4.629,
1992-01,-18.096,
1992-04,97.750,
1992-07,116.173,
1992-10,-143.020,
1993-01,-50.186,
1993-04,6.020,
1993-07,23.892,
1993-10,8.576,
1994-01,-13.544,
1994-04,16.100,
1994-07,85.660,
1994-10,-43.873,
1995-01,201.848,
1995-04,-162.536,
1995-07,103.165,
1995-10,10.837,
1996-01,1.004,
1996-04,255.367,
1996-07,-106.110,
1996-10,-43.443,
1997-01,100.459,
1997-04,392.497,
1997-07,-41.376,
1997-10,464.026,
1998-01,-715.144,
1998-04,83.686,
1998-07,-136.190,
1998-10,-15.669,
1999-01,17.893,
1999-04,46.331,
1999-07,62.104,
1999-10,-55.466,
2000-01,12.231,
2000-04,406.203,
2000-07,-341.338,
2000-10,-272.313,
2001-01,139.589,
2001-04,-151.073,
2001-07,90.630,
2001-10,-251.850,
2002-01,136.360,
2002-04,86.915,
2002-07,-147.007,
2002-10,-65.718,
2003-01,-121.507,
2003-04,29.627,
2003-07,212.075,
2003-10,-152.208,
2004-01,220.901,
2004-04,109.365,
2004-07,37.915,
2004-10,-343.795,
2005-01,446.253,
2005-04,231.149,
2005-07,-189.442,
2005-10,83.246,
2006-01,-379.105,
2006-04,24.034,
2006-07,90.251,
2006-10,-167.581,
2007-01,-33.763,
2007-04,-3.291,
2007-07,115.944,
2007-10,-2.303,
2008-01,-85.363,
2008-04,-64.126,
2008-07,88.157,
2008-10,-290.020,
2009-01,-80.924,
2009-04,2.337,
2009-07,419.334,
2009-10,-432.199,
2010-01,1329.766,
2010-04,365.156,
2010-07,4161.529,
2010-10,-1750.820,
2011-01,791.606,
2011-04,-1786.694,
2011-07,-1520.828,
2011-10,467.397,
2012-01,-1462.886,
2012-04,504.031,
2012-07,-705.554,
2012-10,50.139,
2013-01,61.563,
2013-04,285.213,
2013-07,-53.743,
2013-10,337.344,
2014-01,-137.083,Provisional value
2014-04,774.796,Provisional value
2014-07,-333.892,Provisional value
2014-10,-31.385,Provisional value
