"",BBAI3.Q.DE.N.V.LE.F29AAB.SK.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAB.SK.A1.S.1.N.E.Z_FLAGS
"",Assets / Death benefit funds / Deposits over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:49,
2005-10,2,
2006-01,2,
2006-04,2,
2006-07,2,
2006-10,3,
2007-01,3,
2007-04,3,
2007-07,3,
2007-10,4,
2008-01,3,
2008-04,5,
2008-07,5,
2008-10,5,
2009-01,4,
2009-04,4,
2009-07,3,
2009-10,4,
2010-01,3,
2010-04,2,
2010-07,2,
2010-10,2,
2011-01,2,
2011-04,2,
2011-07,2,
2011-10,2,
2012-01,2,
2012-04,2,
2012-07,2,
2012-10,2,
2013-01,2,
2013-04,2,
2013-07,2,
2013-10,2,
2014-01,2,
2014-04,2,
2014-07,2,
