"",BBK01.OEBL04G,BBK01.OEBL04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:19,
2002-01,6.916,
2002-04,6.437,
2002-07,6.500,
2002-10,6.084,
2003-01,5.629,
2003-04,5.269,
2003-07,4.737,
2003-10,4.389,
2004-01,4.098,
2004-04,3.967,
2004-07,3.777,
2004-10,3.719,
2005-01,1.271,
2005-04,1.279,
2005-07,1.152,
2005-10,1.286,
2006-01,1.368,
2006-04,1.363,
2006-07,1.524,
2006-10,1.879,
2007-01,2.227,
2007-04,2.552,
2007-07,3.058,
2007-10,4.234,
2008-01,5.399,
2008-04,5.726,
2008-07,6.674,
2008-10,7.422,
2009-01,10.330,
2009-04,10.563,
2009-07,9.370,
2009-10,8.553,
2010-01,5.419,
2010-04,4.967,
2010-07,4.751,
2010-10,4.761,
2011-01,4.538,
2011-04,4.415,
2011-07,4.798,
2011-10,5.064,
2012-01,5.052,
2012-04,5.500,
2012-07,5.117,
2012-10,5.657,
2013-01,6.062,
2013-04,5.290,
2013-07,4.543,
2013-10,4.265,
2014-01,4.202,
2014-04,4.189,
2014-07,4.127,
