"",BBK01.OEHI03U,BBK01.OEHI03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:42,
2002-01,1.012,
2002-04,1.010,
2002-07,0.967,
2002-10,0.925,
2003-01,0.920,
2003-04,0.868,
2003-07,0.884,
2003-10,0.835,
2004-01,0.884,
2004-04,0.822,
2004-07,0.820,
2004-10,0.740,
2005-01,0.744,
2005-04,0.731,
2005-07,0.766,
2005-10,0.775,
2006-01,0.865,
2006-04,0.831,
2006-07,0.874,
2006-10,0.822,
2007-01,0.980,
2007-04,1.000,
2007-07,1.082,
2007-10,1.069,
2008-01,1.209,
2008-04,1.242,
2008-07,1.375,
2008-10,1.315,
2009-01,1.217,
2009-04,1.009,
2009-07,0.737,
2009-10,0.692,
2010-01,0.615,
2010-04,0.565,
2010-07,0.596,
2010-10,0.618,
2011-01,0.702,
2011-04,0.724,
2011-07,0.774,
2011-10,0.738,
2012-01,0.670,
2012-04,0.613,
2012-07,0.592,
2012-10,0.520,
2013-01,0.463,
2013-04,0.447,
2013-07,0.476,
2013-10,0.459,
2014-01,0.469,
2014-04,0.431,
2014-07,0.396,
