"",BBK01.OEHJ03M,BBK01.OEHJ03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:27,
2002-01,1.609,
2002-04,1.626,
2002-07,1.736,
2002-10,1.664,
2003-01,1.634,
2003-04,1.519,
2003-07,1.556,
2003-10,1.638,
2004-01,1.511,
2004-04,1.493,
2004-07,1.598,
2004-10,1.596,
2005-01,1.562,
2005-04,1.560,
2005-07,1.616,
2005-10,1.656,
2006-01,1.733,
2006-04,1.664,
2006-07,1.737,
2006-10,1.820,
2007-01,1.818,
2007-04,1.794,
2007-07,2.081,
2007-10,2.044,
2008-01,2.010,
2008-04,2.201,
2008-07,2.681,
2008-10,2.978,
2009-01,2.691,
2009-04,2.316,
2009-07,2.398,
2009-10,2.293,
2010-01,2.349,
2010-04,2.330,
2010-07,2.515,
2010-10,2.498,
2011-01,2.447,
2011-04,2.552,
2011-07,2.737,
2011-10,2.821,
2012-01,2.701,
2012-04,2.527,
2012-07,2.405,
2012-10,2.034,
2013-01,2.118,
2013-04,2.005,
2013-07,2.069,
2013-10,2.042,
2014-01,2.054,
2014-04,2.224,
2014-07,1.959,
