"",BBK01.OECB15N,BBK01.OECB15N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:52,
2002-01,0.779,
2002-04,0.760,
2002-07,0.743,
2002-10,0.675,
2003-01,0.630,
2003-04,0.606,
2003-07,0.455,
2003-10,0.449,
2004-01,0.448,
2004-04,0.436,
2004-07,0.434,
2004-10,0.398,
2005-01,0.381,
2005-04,0.379,
2005-07,0.354,
2005-10,0.365,
2006-01,0.367,
2006-04,0.361,
2006-07,0.376,
2006-10,0.351,
2007-01,0.330,
2007-04,0.329,
2007-07,0.335,
2007-10,0.310,
2008-01,0.309,
2008-04,0.319,
2008-07,0.301,
2008-10,0.269,
2009-01,0.265,
2009-04,0.277,
2009-07,0.295,
2009-10,0.288,
2010-01,0.282,
2010-04,0.292,
2010-07,0.287,
2010-10,0.295,
2011-01,0.280,
2011-04,0.273,
2011-07,0.230,
2011-10,0.218,
2012-01,0.209,
2012-04,0.197,
2012-07,0.195,
2012-10,0.184,
2013-01,0.182,
2013-04,0.182,
2013-07,0.173,
2013-10,0.157,
2014-01,0.164,
2014-04,0.155,
2014-07,0.194,
