"",BBK01.PQL350,BBK01.PQL350_FLAGS
"",Lending to domestic enterprises and resident individuals / Total / Credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:19:41,
1958-10,3.092,
1959-01,-,Nothing exists
1959-04,3.416,
1959-07,-,Nothing exists
1959-10,3.780,
1960-01,-,Nothing exists
1960-04,4.185,
1960-07,-,Nothing exists
1960-10,4.401,
1961-01,-,Nothing exists
1961-04,4.851,
1961-07,-,Nothing exists
1961-10,5.119,
1962-01,-,Nothing exists
1962-04,5.700,
1962-07,-,Nothing exists
1962-10,6.117,
1963-01,-,Nothing exists
1963-04,6.809,
1963-07,-,Nothing exists
1963-10,7.138,
1964-01,-,Nothing exists
1964-04,7.817,
1964-07,-,Nothing exists
1964-10,8.232,
1965-01,8.581,
1965-04,9.027,
1965-07,9.365,
1965-10,10.081,
1966-01,10.481,
1966-04,10.969,
1966-07,11.196,
1966-10,11.315,
1967-01,11.455,
1967-04,11.815,
1967-07,12.006,
1967-10,12.394,
1968-01,12.728,
1968-04,13.226,
1968-07,13.568,
1968-10,14.616,
1969-01,15.158,
1969-04,15.883,
1969-07,16.471,
1969-10,17.320,
1970-01,17.983,
1970-04,18.766,
1970-07,19.326,
1970-10,20.099,
1971-01,20.690,
1971-04,21.841,
1971-07,22.817,
1971-10,23.840,
1972-01,24.607,
1972-04,26.012,
1972-07,27.180,
1972-10,28.906,
1973-01,29.911,
1973-04,31.038,
1973-07,31.514,
1973-10,34.380,
1974-01,34.718,
1974-04,35.480,
1974-07,35.774,
1974-10,36.590,
1975-01,36.868,
1975-04,37.545,
1975-07,38.304,
1975-10,39.732,
1976-01,40.874,
1976-04,42.748,
1976-07,44.451,
1976-10,46.534,
1977-01,47.773,
1977-04,49.759,
1977-07,51.145,
1977-10,53.181,
1978-01,54.609,
1978-04,57.216,
1978-07,59.288,
1978-10,62.284,
1979-01,64.403,
1979-04,67.733,
1979-07,70.757,
1979-10,74.424,
1980-01,76.698,
1980-04,79.271,
1980-07,81.286,
1980-10,84.338,
1981-01,86.424,
1981-04,89.041,
1981-07,90.928,
1981-10,93.232,
1982-01,93.818,
1982-04,95.762,
1982-07,96.895,
1982-10,98.945,
1983-01,99.157,
1983-04,101.305,
1983-07,103.529,
1983-10,107.025,
1984-01,108.000,
1984-04,110.685,
1984-07,112.473,
1984-10,114.414,
1985-01,115.186,
1985-04,116.435,
1985-07,116.972,
1985-10,131.188,
1986-01,131.306,
1986-04,132.407,
1986-07,132.225,
1986-10,132.834,
1987-01,132.664,
1987-04,134.020,
1987-07,134.947,
1987-10,136.409,
1988-01,137.509,
1988-04,139.478,
1988-07,141.331,
1988-10,143.288,
1989-01,144.446,
1989-04,147.798,
1989-07,150.348,
1989-10,154.183,
1990-01,155.810,
1990-04,160.060,
1990-07,164.072,
1990-10,168.979,
1991-01,171.194,
1991-04,175.056,
1991-07,178.993,
1991-10,185.409,
1992-01,188.474,
1992-04,194.024,
1992-07,198.308,
1992-10,204.118,
1993-01,205.646,
1993-04,210.097,
1993-07,214.527,
1993-10,221.287,
1994-01,223.389,
1994-04,229.028,
1994-07,235.126,
1994-10,244.034,
1995-01,248.192,
1995-04,254.496,
1995-07,259.857,
1995-10,265.741,
1996-01,266.531,
1996-04,271.208,
1996-07,275.631,
1996-10,282.999,
1997-01,283.655,
1997-04,287.518,
1997-07,291.656,
1997-10,296.714,
1998-01,297.758,
1998-04,301.995,
1998-07,306.604,
1998-10,311.940,
1999-01,307.580,
1999-04,310.865,
1999-07,314.679,
1999-10,317.542,
2000-01,318.209,
2000-04,322.146,
2000-07,324.834,
2000-10,327.123,
2001-01,326.558,
2001-04,328.199,
2001-07,330.164,
2001-10,331.415,
2002-01,330.987,
2002-04,332.986,
2002-07,334.549,
2002-10,334.919,
2003-01,332.949,
2003-04,334.507,
2003-07,336.366,
2003-10,337.505,
2004-01,336.681,
2004-04,338.869,
2004-07,340.455,
2004-10,342.186,
2005-01,341.618,
2005-04,343.045,
2005-07,345.874,
2005-10,347.852,
2006-01,349.072,
2006-04,351.807,
2006-07,354.382,
2006-10,353.455,
2007-01,353.847,
2007-04,356.141,
2007-07,358.716,
2007-10,360.418,
2008-01,361.244,
2008-04,363.990,
2008-07,367.718,
2008-10,369.355,
2009-01,370.642,
2009-04,374.218,
2009-07,378.739,
2009-10,381.813,
2010-01,383.922,
2010-04,390.014,
2010-07,394.314,
2010-10,397.674,
2011-01,400.781,
2011-04,406.969,
2011-07,411.730,
2011-10,415.687,
2012-01,419.593,
2012-04,423.809,
2012-07,429.657,
2012-10,433.838,
2013-01,437.010,
2013-04,442.413,
2013-07,448.735,
2013-10,452.490,
2014-01,455.806,
2014-04,461.256,
2014-07,467.383,
2014-10,471.684,
