"",BBK01.OEYI08G,BBK01.OEYI08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:20,
2002-01,4.363,
2002-04,4.280,
2002-07,4.385,
2002-10,4.572,
2003-01,4.734,
2003-04,4.880,
2003-07,4.908,
2003-10,4.959,
2004-01,5.040,
2004-04,5.054,
2004-07,5.135,
2004-10,5.066,
2005-01,5.111,
2005-04,5.185,
2005-07,7.614,
2005-10,7.739,
2006-01,7.789,
2006-04,7.685,
2006-07,7.521,
2006-10,7.220,
2007-01,7.097,
2007-04,6.678,
2007-07,6.348,
2007-10,6.232,
2008-01,6.085,
2008-04,5.735,
2008-07,5.458,
2008-10,5.402,
2009-01,5.782,
2009-04,5.876,
2009-07,6.034,
2009-10,6.011,
2010-01,5.970,
2010-04,5.973,
2010-07,6.074,
2010-10,6.173,
2011-01,6.159,
2011-04,6.118,
2011-07,6.137,
2011-10,5.962,
2012-01,5.863,
2012-04,5.797,
2012-07,5.776,
2012-10,5.861,
2013-01,5.965,
2013-04,6.091,
2013-07,6.123,
2013-10,6.258,
2014-01,6.420,
2014-04,6.536,
2014-07,6.543,
