"",BBSF2.M.1.P.00000.IMM01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Deposits and loan claims,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:26,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,2252,
1993-05,2436,
1993-06,2510,
1993-07,3099,
1993-08,3001,
1993-09,3338,
1993-10,4698,
1993-11,5521,
1993-12,4952,
1994-01,6314,
1994-02,6066,
1994-03,4583,
1994-04,4478,
1994-05,4385,
1994-06,4304,
1994-07,4418,
1994-08,3791,
1994-09,3426,
1994-10,3524,
1994-11,3382,
1994-12,3578,
1995-01,3753,
1995-02,3802,
1995-03,3854,
1995-04,4136,
1995-05,4007,
1995-06,3290,
1995-07,3206,
1995-08,3269,
1995-09,3219,
1995-10,3144,
1995-11,3359,
1995-12,3388,
1996-01,4458,
1996-02,4169,
1996-03,4354,
1996-04,4793,
1996-05,4532,
1996-06,4153,
1996-07,5163,
1996-08,5357,
1996-09,4631,
1996-10,4247,
1996-11,4458,
1996-12,4181,
1997-01,4949,
1997-02,4971,
1997-03,4676,
1997-04,4400,
1997-05,4381,
1997-06,4161,
1997-07,4089,
1997-08,4155,
1997-09,4281,
1997-10,5738,
1997-11,5500,
1997-12,5068,
1998-01,5357,
1998-02,4551,
1998-03,4386,
1998-04,4087,
1998-05,4308,
1998-06,4003,
1998-07,3901,
1998-08,4767,
1998-09,5792,
1998-10,4830,
1998-11,4924,
1998-12,5971,
1999-01,6181,
1999-02,6195,
1999-03,5318,
1999-04,5480,
1999-05,5032,
1999-06,4407,
1999-07,4676,
1999-08,5174,
1999-09,5169,
1999-10,5733,
1999-11,5944,
1999-12,5223,
2000-01,4484,
2000-02,4395,
2000-03,4083,
2000-04,3694,
2000-05,3351,
2000-06,3291,
2000-07,3317,
2000-08,3067,
2000-09,3114,
2000-10,3287,
2000-11,3325,
2000-12,3699,
2001-01,3417,
2001-02,3672,
2001-03,3498,
2001-04,3425,
2001-05,3554,
2001-06,4137,
2001-07,4577,
2001-08,5572,
2001-09,7212,
2001-10,5604,
2001-11,5659,
2001-12,5826,
2002-01,6774,
2002-02,8351,
2002-03,8170,
2002-04,9323,
2002-05,8953,
2002-06,9927,
2002-07,9774,
2002-08,9707,
2002-09,9558,
2002-10,8735,
2002-11,8551,
2002-12,7845,
2003-01,9154,
2003-02,10306,
2003-03,11320,
2003-04,11775,
2003-05,12153,
2003-06,13170,
2003-07,13070,
2003-08,13358,
2003-09,12683,
2003-10,11029,
2003-11,10993,
2003-12,10170,
2004-01,10575,
2004-02,10855,
2004-03,11148,
2004-04,12004,
2004-05,11839,
2004-06,11105,
2004-07,10469,
2004-08,10799,
2004-09,10426,
2004-10,11390,
2004-11,11258,
2004-12,10523,
2005-01,10175,
2005-02,9545,
2005-03,8769,
2005-04,8905,
2005-05,8957,
2005-06,7903,
2005-07,8511,
2005-08,8985,
2005-09,9161,
2005-10,8746,
2005-11,9090,
2005-12,8534,
2006-01,6267,
2006-02,6527,
2006-03,8221,
2006-04,7923,
2006-05,8916,
2006-06,8999,
2006-07,9274,
2006-08,9419,
2006-09,9746,
2006-10,9625,
2006-11,9877,
2006-12,10503,
2007-01,11816,
2007-02,12719,
2007-03,11950,
2007-04,11623,
2007-05,12472,
2007-06,11825,
2007-07,12024,
2007-08,13032,
2007-09,13603,
2007-10,12337,
2007-11,12969,
2007-12,12572,
2008-01,13129,
2008-02,12575,
2008-03,12606,
2008-04,12076,
2008-05,11757,
2008-06,11170,
2008-07,12475,
2008-08,12918,
2008-09,12412,
2008-10,9446,
2008-11,9166,
2008-12,9472,
2009-01,9298,
2009-02,9285,
2009-03,9116,
2009-04,9585,
2009-05,10115,
2009-06,10326,
2009-07,9398,
2009-08,10408,
2009-09,9869,
2009-10,10405,
2009-11,9659,
2009-12,9173,
2010-01,9047,
2010-02,9411,
2010-03,9305,
2010-04,9241,
2010-05,7883,
2010-06,7657,
2010-07,7688,
2010-08,7322,
2010-09,7272,
2010-10,6818,
2010-11,6186,
2010-12,6608,
2011-01,8303,
2011-02,9304,
2011-03,9579,
2011-04,10092,
2011-05,9819,
2011-06,9607,
2011-07,9445,
2011-08,9544,
2011-09,10316,
2011-10,10376,
2011-11,10217,
2011-12,10821,
2012-01,10867,
2012-02,11052,
2012-03,11915,
2012-04,12225,
2012-05,14080,
2012-06,12348,
2012-07,11426,
2012-08,11479,
2012-09,11512,
2012-10,10743,
2012-11,10751,
2012-12,10048,
2013-01,9534,
2013-02,9301,
2013-03,10314,
2013-04,9704,
2013-05,9576,
2013-06,9407,
2013-07,9637,
2013-08,8863,
2013-09,9428,
2013-10,9218,
2013-11,8402,
2013-12,8414,
2014-01,7370,
2014-02,7305,
2014-03,7068,
2014-04,7910,
2014-05,7960,
2014-06,7599,
2014-07,6319,
2014-08,6349,
2014-09,6494,
2014-10,6107,
2014-11,6343,
