"",BBFN1.M.DE.N.1.L.PK.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PK.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Pakistan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:30,
1994-07,0.203,
1994-08,0.211,
1994-09,0.120,
1994-10,0.128,
1994-11,0.184,
1994-12,0.194,
1995-01,0.202,
1995-02,0.197,
1995-03,0.200,
1995-04,0.177,
1995-05,0.175,
1995-06,0.179,
1995-07,0.189,
1995-08,0.201,
1995-09,0.116,
1995-10,0.108,
1995-11,0.118,
1995-12,0.125,
1996-01,0.124,
1996-02,0.129,
1996-03,0.114,
1996-04,0.120,
1996-05,0.115,
1996-06,0.112,
1996-07,0.107,
1996-08,0.105,
1996-09,0.094,
1996-10,0.099,
1996-11,0.069,
1996-12,0.107,
1997-01,0.140,
1997-02,0.140,
1997-03,0.139,
1997-04,0.163,
1997-05,0.163,
1997-06,0.189,
1997-07,0.281,
1997-08,0.129,
1997-09,0.127,
1997-10,0.143,
1997-11,0.132,
1997-12,0.112,
1998-01,0.270,
1998-02,0.275,
1998-03,0.116,
1998-04,0.109,
1998-05,0.111,
1998-06,0.078,
1998-07,0.121,
1998-08,0.125,
1998-09,0.125,
1998-10,0.126,
1998-11,0.137,
1998-12,0.129,
1999-01,0.130,
1999-02,0.129,
1999-03,0.109,
1999-04,0.081,
1999-05,0.120,
1999-06,0.092,
1999-07,0.090,
1999-08,0.074,
1999-09,0.078,
1999-10,0.080,
1999-11,0.081,
1999-12,0.085,
2000-01,0.088,
2000-02,0.085,
2000-03,0.068,
2000-04,0.068,
2000-05,0.059,
2000-06,0.053,
2000-07,0.056,
2000-08,0.056,
2000-09,0.065,
2000-10,0.072,
2000-11,0.076,
2000-12,0.076,
2001-01,0.077,
2001-02,0.073,
2001-03,0.072,
2001-04,0.073,
2001-05,0.071,
2001-06,0.070,
2001-07,0.057,
2001-08,0.071,
2001-09,0.079,
2001-10,0.079,
2001-11,0.073,
2001-12,0.074,
2002-01,0.076,
2002-02,0.084,
2002-03,0.079,
2002-04,0.087,
2002-05,0.094,
2002-06,0.097,
2002-07,0.097,
2002-08,0.100,
2002-09,0.097,
2002-10,0.100,
2002-11,0.103,
2002-12,0.099,
2003-01,0.094,
2003-02,0.096,
2003-03,0.102,
2003-04,0.103,
2003-05,0.102,
2003-06,0.099,
2003-07,0.103,
2003-08,0.100,
2003-09,0.104,
2003-10,0.113,
2003-11,0.114,
2003-12,0.109,
2004-01,0.114,
2004-02,0.102,
2004-03,0.105,
2004-04,0.103,
2004-05,0.092,
2004-06,0.085,
2004-07,0.086,
2004-08,0.076,
2004-09,0.048,
2004-10,0.050,
2004-11,0.056,
2004-12,0.060,
2005-01,0.054,
2005-02,0.060,
2005-03,0.073,
2005-04,0.074,
2005-05,0.078,
2005-06,0.079,
2005-07,0.085,
2005-08,0.080,
2005-09,0.075,
2005-10,0.096,
2005-11,0.108,
2005-12,0.124,
2006-01,0.118,
2006-02,0.132,
2006-03,0.121,
2006-04,0.136,
2006-05,0.126,
2006-06,0.115,
2006-07,0.114,
2006-08,0.118,
2006-09,0.163,
2006-10,0.170,
2006-11,0.167,
2006-12,0.163,
2007-01,0.155,
2007-02,0.162,
2007-03,0.158,
2007-04,0.159,
2007-05,0.179,
2007-06,0.157,
2007-07,0.191,
2007-08,0.194,
2007-09,0.192,
2007-10,0.185,
2007-11,0.211,
2007-12,0.242,
2008-01,0.228,
2008-02,0.223,
2008-03,0.182,
2008-04,0.186,
2008-05,0.220,
2008-06,0.212,
2008-07,0.215,
2008-08,0.222,
2008-09,0.235,
2008-10,0.261,
2008-11,0.332,
2008-12,0.281,
2009-01,0.294,
2009-02,0.325,
2009-03,0.323,
2009-04,0.317,
2009-05,0.334,
2009-06,0.334,
2009-07,0.339,
2009-08,0.340,
2009-09,0.346,
2009-10,0.363,
2009-11,0.396,
2009-12,0.279,
2010-01,0.282,
2010-02,0.280,
2010-03,0.280,
2010-04,0.282,
2010-05,0.276,
2010-06,0.282,
2010-07,0.285,
2010-08,0.279,
2010-09,0.270,
2010-10,0.267,
2010-11,0.280,
2010-12,0.269,
2011-01,0.279,
2011-02,0.288,
2011-03,0.296,
2011-04,0.297,
2011-05,0.173,
2011-06,0.131,
2011-07,0.129,
2011-08,0.134,
2011-09,0.140,
2011-10,0.132,
2011-11,0.143,
2011-12,0.163,
2012-01,0.182,
2012-02,0.182,
2012-03,0.201,
2012-04,0.197,
2012-05,0.204,
2012-06,0.185,
2012-07,0.185,
2012-08,0.187,
2012-09,0.166,
2012-10,0.167,
2012-11,0.173,
2012-12,0.176,
2013-01,0.176,
2013-02,0.175,
2013-03,0.173,
2013-04,0.172,
2013-05,0.171,
2013-06,0.173,
2013-07,0.169,
2013-08,0.171,
2013-09,0.180,
2013-10,0.192,
2013-11,0.188,
2013-12,0.189,
2014-01,0.189,
2014-02,0.190,
2014-03,0.197,
2014-04,0.195,
2014-05,0.191,
2014-06,0.191,
2014-07,0.200,
2014-08,0.199,
2014-09,0.205,
2014-10,0.205,
2014-11,0.202,
2014-12,0.195,
