"",BBK01.OEYB13V,BBK01.OEYB13V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:05,
2002-01,0.982,
2002-04,0.973,
2002-07,0.978,
2002-10,0.960,
2003-01,0.953,
2003-04,0.943,
2003-07,0.938,
2003-10,0.937,
2004-01,0.896,
2004-04,0.889,
2004-07,0.889,
2004-10,0.884,
2005-01,0.867,
2005-04,0.862,
2005-07,1.271,
2005-10,1.259,
2006-01,1.199,
2006-04,1.190,
2006-07,1.183,
2006-10,1.130,
2007-01,1.084,
2007-04,1.041,
2007-07,0.983,
2007-10,0.943,
2008-01,0.908,
2008-04,0.896,
2008-07,0.884,
2008-10,0.872,
2009-01,0.782,
2009-04,0.762,
2009-07,0.747,
2009-10,0.781,
2010-01,0.757,
2010-04,0.760,
2010-07,0.749,
2010-10,0.681,
2011-01,0.659,
2011-04,0.655,
2011-07,0.727,
2011-10,0.712,
2012-01,0.704,
2012-04,0.728,
2012-07,0.707,
2012-10,0.684,
2013-01,0.677,
2013-04,0.671,
2013-07,0.677,
2013-10,0.652,
2014-01,0.687,
2014-04,0.678,
2014-07,0.673,
