"",BBFB1.Q.N.DE.TR.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:00,
1991-01,53.835,
1991-04,56.489,
1991-07,58.490,
1991-10,68.524,
1992-01,96.472,
1992-04,89.074,
1992-07,84.810,
1992-10,68.086,
1993-01,67.524,
1993-04,63.313,
1993-07,43.432,
1993-10,58.362,
1994-01,67.758,
1994-04,74.717,
1994-07,59.207,
1994-10,51.288,
1995-01,71.455,
1995-04,63.989,
1995-07,55.563,
1995-10,82.308,
1996-01,42.005,
1996-04,55.483,
1996-07,41.505,
1996-10,44.002,
1997-01,72.634,
1997-04,78.928,
1997-07,89.031,
1997-10,85.593,
1998-01,52.331,
1998-04,58.493,
1998-07,44.569,
1998-10,31.853,
1999-01,32.110,
1999-04,-0.123,
1999-07,31.536,
1999-10,23.954,
2000-01,65.334,
2000-04,116.083,
2000-07,108.724,
2000-10,110.553,
2001-01,91.790,
2001-04,74.997,
2001-07,58.556,
2001-10,53.498,
2002-01,48.564,
2002-04,60.383,
2002-07,76.969,
2002-10,66.915,
2003-01,77.892,
2003-04,75.883,
2003-07,88.193,
2003-10,101.520,
2004-01,149.538,
2004-04,146.940,
2004-07,166.861,
2004-10,180.025,
2005-01,157.869,
2005-04,167.674,
2005-07,175.674,
2005-10,186.886,
2006-01,208.462,
2006-04,218.029,
2006-07,220.350,
2006-10,228.900,
2007-01,291.328,
2007-04,300.061,
2007-07,291.991,
2007-10,261.941,
2008-01,260.849,
2008-04,238.749,
2008-07,207.304,
2008-10,203.225,
2009-01,196.339,
2009-04,196.435,
2009-07,190.766,
2009-10,200.227,
2010-01,175.712,
2010-04,194.573,
2010-07,174.679,
2010-10,173.198,
2011-01,210.014,
2011-04,241.040,
2011-07,233.825,
2011-10,257.721,
2012-01,253.362,
2012-04,259.638,
2012-07,240.510,
2012-10,260.051,
2013-01,250.959,
2013-04,252.503,
2013-07,245.073,
2013-10,228.341,
2014-01,223.120,Provisional value
2014-04,224.298,Provisional value
2014-07,200.804,Provisional value
