"",BBK01.OEXB16P,BBK01.OEXB16P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:27,
2002-01,0.074,
2002-04,0.076,
2002-07,0.076,
2002-10,0.079,
2003-01,0.080,
2003-04,0.082,
2003-07,0.083,
2003-10,0.083,
2004-01,0.083,
2004-04,0.082,
2004-07,0.082,
2004-10,0.081,
2005-01,0.081,
2005-04,0.081,
2005-07,0.083,
2005-10,0.084,
2006-01,0.086,
2006-04,0.086,
2006-07,0.087,
2006-10,0.091,
2007-01,0.094,
2007-04,0.088,
2007-07,0.092,
2007-10,0.106,
2008-01,0.107,
2008-04,0.177,
2008-07,0.179,
2008-10,0.178,
2009-01,0.176,
2009-04,0.178,
2009-07,0.176,
2009-10,0.175,
2010-01,0.173,
2010-04,0.173,
2010-07,0.171,
2010-10,0.168,
2011-01,0.165,
2011-04,0.164,
2011-07,0.157,
2011-10,0.156,
2012-01,0.156,
2012-04,0.156,
2012-07,0.155,
2012-10,0.157,
2013-01,0.155,
2013-04,0.154,
2013-07,0.153,
2013-10,0.150,
2014-01,0.146,
2014-04,0.142,
2014-07,0.140,
