"",BBK01.OEAA29N,BBK01.OEAA29N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:13,
2002-01,77.787,
2002-04,78.348,
2002-07,78.655,
2002-10,78.569,
2003-01,78.001,
2003-04,77.324,
2003-07,77.400,
2003-10,75.967,
2004-01,75.393,
2004-04,75.580,
2004-07,75.642,
2004-10,74.197,
2005-01,74.586,
2005-04,74.931,
2005-07,75.078,
2005-10,75.740,
2006-01,77.938,
2006-04,78.636,
2006-07,78.915,
2006-10,79.218,
2007-01,79.026,
2007-04,79.192,
2007-07,78.733,
2007-10,78.936,
2008-01,79.313,
2008-04,80.092,
2008-07,80.442,
2008-10,80.481,
2009-01,79.990,
2009-04,81.600,
2009-07,82.178,
2009-10,82.249,
2010-01,82.170,
2010-04,83.074,
2010-07,83.514,
2010-10,83.639,
2011-01,83.821,
2011-04,84.206,
2011-07,84.760,
2011-10,85.774,
2012-01,85.902,
2012-04,76.116,
2012-07,76.498,
2012-10,76.679,
2013-01,76.577,
2013-04,76.892,
2013-07,77.674,
2013-10,77.733,
2014-01,77.992,
2014-04,78.012,
2014-07,78.398,
