"",BBK01.OELB09J,BBK01.OELB09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:40,
2002-01,0.169,
2002-04,0.165,
2002-07,0.158,
2002-10,0.146,
2003-01,0.147,
2003-04,0.151,
2003-07,0.135,
2003-10,0.125,
2004-01,0.113,
2004-04,0.120,
2004-07,0.108,
2004-10,0.117,
2005-01,0.112,
2005-04,0.109,
2005-07,0.107,
2005-10,0.109,
2006-01,0.114,
2006-04,0.126,
2006-07,0.124,
2006-10,0.108,
2007-01,0.113,
2007-04,0.110,
2007-07,0.112,
2007-10,0.119,
2008-01,0.125,
2008-04,0.128,
2008-07,0.142,
2008-10,0.139,
2009-01,0.140,
2009-04,0.150,
2009-07,0.153,
2009-10,0.147,
2010-01,0.149,
2010-04,0.139,
2010-07,0.141,
2010-10,0.163,
2011-01,0.160,
2011-04,0.190,
2011-07,0.190,
2011-10,0.177,
2012-01,0.207,
2012-04,0.252,
2012-07,0.260,
2012-10,0.293,
2013-01,0.282,
2013-04,0.288,
2013-07,0.291,
2013-10,0.300,
2014-01,0.296,
2014-04,0.304,
2014-07,0.299,
