"",BBEX3.M.MXN.USD.CA.AC.A01,BBEX3.M.MXN.USD.CA.AC.A01_FLAGS
2010-02,12.77625,
2010-03,12.35650,
2010-04,12.28550,
2010-05,12.92550,
2010-06,12.88700,
2010-07,12.65825,
2010-08,13.23325,
2010-09,12.62450,
2010-10,12.36450,
2010-11,12.45950,
2010-12,12.36000,
2011-01,12.15760,
2011-02,12.10400,
2011-03,11.88955,
2011-04,11.50330,
2011-05,11.56720,
2011-06,11.70925,
2011-07,11.72565,
2011-08,12.34150,
2011-09,13.88250,
2011-10,13.29680,
2011-11,13.66550,
2011-12,13.96900,
2012-01,13.02580,
2012-02,12.78390,
2012-03,12.80200,
2012-04,13.02940,
2012-05,14.29210,
2012-06,13.33850,
2012-07,13.30950,
2012-08,13.19900,
2012-09,12.85780,
2012-10,13.07040,
2012-11,12.93800,
2012-12,12.86940,
2013-01,12.71600,
2013-02,12.74740,
2013-03,12.33290,
2013-04,12.14010,
2013-05,12.80260,
2013-06,12.97800,
2013-07,12.78350,
2013-08,13.38800,
2013-09,13.15140,
2013-10,13.03900,
2013-11,13.11500,
2013-12,13.08750,
2014-01,13.31400,
2014-02,13.24400,
2014-03,13.06300,
2014-04,13.08400,
2014-05,12.85425,
2014-06,12.98575,
2014-07,13.20400,
2014-08,13.06900,
2014-09,13.42250,
2014-10,13.47025,
2014-11,13.90675,
2014-12,14.74600,
2015-01,14.94850,
"","General: Currency conversion with effect from 1 January 1993 at the rate of 1,000 Mexican peso (MXP) = 1 Mexican new peso (MXN). On 1 January 1996, the currency name was changed from Mexican new peso (MXN) to Mexican peso (MXN).",
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since end of May 2003: Banco de México, Mexico City 1993 - April 2003: Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
