"",BBK01.OEHO05T,BBK01.OEHO05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:50,
2002-01,0.003,
2002-04,0.005,
2002-07,0.007,
2002-10,0.196,
2003-01,0.003,
2003-04,0.003,
2003-07,0.004,
2003-10,0.164,
2004-01,0.003,
2004-04,0.003,
2004-07,0.003,
2004-10,0.150,
2005-01,0.002,
2005-04,0.003,
2005-07,0.003,
2005-10,0.141,
2006-01,0.001,
2006-04,0.002,
2006-07,0.003,
2006-10,0.146,
2007-01,0.003,
2007-04,0.003,
2007-07,0.003,
2007-10,0.162,
2008-01,0.003,
2008-04,0.003,
2008-07,0.006,
2008-10,0.179,
2009-01,0.003,
2009-04,0.005,
2009-07,0.010,
2009-10,0.145,
2010-01,0.002,
2010-04,0.003,
2010-07,0.004,
2010-10,0.117,
2011-01,0.010,
2011-04,0.014,
2011-07,0.015,
2011-10,0.118,
2012-01,0.013,
2012-04,0.012,
2012-07,0.017,
2012-10,0.091,
2013-01,0.013,
2013-04,0.012,
2013-07,0.016,
2013-10,0.070,
2014-01,0.012,
2014-04,0.012,
2014-07,0.016,
