"",BBK01.OEAF16I,BBK01.OEAF16I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:36,
2002-01,0.108,
2002-04,0.074,
2002-07,0.077,
2002-10,0.064,
2003-01,0.060,
2003-04,0.057,
2003-07,0.047,
2003-10,0.047,
2004-01,0.048,
2004-04,0.049,
2004-07,0.049,
2004-10,0.029,
2005-01,0.030,
2005-04,0.034,
2005-07,0.035,
2005-10,0.036,
2006-01,0.034,
2006-04,0.038,
2006-07,0.053,
2006-10,0.053,
2007-01,0.059,
2007-04,0.065,
2007-07,0.063,
2007-10,0.033,
2008-01,0.032,
2008-04,0.041,
2008-07,0.045,
2008-10,0.046,
2009-01,0.046,
2009-04,0.042,
2009-07,0.047,
2009-10,0.046,
2010-01,0.044,
2010-04,0.041,
2010-07,0.045,
2010-10,0.043,
2011-01,0.037,
2011-04,0.033,
2011-07,0.028,
2011-10,0.028,
2012-01,0.025,
2012-04,0.024,
2012-07,0.019,
2012-10,0.020,
2013-01,0.020,
2013-04,0.020,
2013-07,0.017,
2013-10,0.014,
2014-01,0.013,
2014-04,0.012,
2014-07,0.032,
