"",BBK01.OEAE31I,BBK01.OEAE31I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:30,
2002-01,9.985,
2002-04,10.338,
2002-07,10.233,
2002-10,10.418,
2003-01,10.128,
2003-04,10.037,
2003-07,10.232,
2003-10,10.115,
2004-01,9.949,
2004-04,9.811,
2004-07,8.872,
2004-10,9.616,
2005-01,10.124,
2005-04,10.304,
2005-07,10.311,
2005-10,10.710,
2006-01,11.269,
2006-04,11.646,
2006-07,11.869,
2006-10,11.797,
2007-01,11.734,
2007-04,11.964,
2007-07,11.930,
2007-10,12.568,
2008-01,12.788,
2008-04,13.254,
2008-07,13.299,
2008-10,13.171,
2009-01,12.310,
2009-04,12.288,
2009-07,12.271,
2009-10,11.503,
2010-01,11.559,
2010-04,13.130,
2010-07,13.886,
2010-10,13.443,
2011-01,13.366,
2011-04,13.328,
2011-07,13.360,
2011-10,13.832,
2012-01,13.927,
2012-04,13.661,
2012-07,13.536,
2012-10,13.056,
2013-01,12.815,
2013-04,12.583,
2013-07,12.850,
2013-10,12.583,
2014-01,12.140,
2014-04,12.112,
2014-07,12.023,
