"",BBK01.OELK02P,BBK01.OELK02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:19,
2002-01,0.168,
2002-04,0.166,
2002-07,0.181,
2002-10,0.176,
2003-01,0.176,
2003-04,0.179,
2003-07,0.188,
2003-10,0.188,
2004-01,0.191,
2004-04,0.199,
2004-07,0.195,
2004-10,0.193,
2005-01,0.200,
2005-04,0.200,
2005-07,0.214,
2005-10,0.218,
2006-01,0.221,
2006-04,0.213,
2006-07,0.205,
2006-10,0.227,
2007-01,0.231,
2007-04,0.226,
2007-07,0.229,
2007-10,0.240,
2008-01,0.238,
2008-04,0.241,
2008-07,0.245,
2008-10,0.257,
2009-01,0.251,
2009-04,0.280,
2009-07,0.308,
2009-10,0.339,
2010-01,0.379,
2010-04,0.419,
2010-07,0.424,
2010-10,0.438,
2011-01,0.442,
2011-04,0.438,
2011-07,0.469,
2011-10,0.500,
2012-01,0.470,
2012-04,0.486,
2012-07,0.485,
2012-10,0.482,
2013-01,0.459,
2013-04,0.465,
2013-07,0.441,
2013-10,0.449,
2014-01,0.436,
2014-04,0.424,
2014-07,0.441,
