"",BBK01.OEXI01T,BBK01.OEXI01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:32,
2002-01,1.996,
2002-04,2.010,
2002-07,2.037,
2002-10,2.015,
2003-01,2.018,
2003-04,1.991,
2003-07,1.940,
2003-10,1.998,
2004-01,2.003,
2004-04,2.059,
2004-07,2.023,
2004-10,1.815,
2005-01,1.825,
2005-04,1.885,
2005-07,1.845,
2005-10,1.918,
2006-01,1.954,
2006-04,2.061,
2006-07,2.100,
2006-10,2.261,
2007-01,2.415,
2007-04,2.458,
2007-07,2.563,
2007-10,2.692,
2008-01,2.684,
2008-04,2.722,
2008-07,2.807,
2008-10,2.984,
2009-01,3.114,
2009-04,3.196,
2009-07,3.264,
2009-10,3.255,
2010-01,3.163,
2010-04,3.310,
2010-07,3.290,
2010-10,3.374,
2011-01,3.337,
2011-04,3.436,
2011-07,3.532,
2011-10,3.563,
2012-01,3.684,
2012-04,3.680,
2012-07,3.738,
2012-10,3.545,
2013-01,3.543,
2013-04,3.496,
2013-07,3.553,
2013-10,3.551,
2014-01,3.476,
2014-04,3.532,
2014-07,3.551,
