"",BBK01.OEAG01P,BBK01.OEAG01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:29,
2002-01,1.811,
2002-04,1.827,
2002-07,1.778,
2002-10,1.745,
2003-01,1.863,
2003-04,1.947,
2003-07,1.783,
2003-10,1.813,
2004-01,1.853,
2004-04,1.848,
2004-07,1.943,
2004-10,1.987,
2005-01,2.112,
2005-04,2.233,
2005-07,2.377,
2005-10,2.372,
2006-01,2.397,
2006-04,2.402,
2006-07,2.192,
2006-10,2.536,
2007-01,2.429,
2007-04,2.382,
2007-07,2.427,
2007-10,2.477,
2008-01,2.546,
2008-04,2.567,
2008-07,2.469,
2008-10,2.471,
2009-01,2.529,
2009-04,2.503,
2009-07,2.516,
2009-10,2.838,
2010-01,2.871,
2010-04,3.125,
2010-07,3.086,
2010-10,3.476,
2011-01,3.599,
2011-04,3.637,
2011-07,3.380,
2011-10,3.873,
2012-01,3.652,
2012-04,3.623,
2012-07,3.551,
2012-10,3.662,
2013-01,3.550,
2013-04,3.679,
2013-07,3.785,
2013-10,3.659,
2014-01,3.762,
2014-04,3.670,
2014-07,3.562,
