"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.P.F3.S._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.P.F3.S._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Short-term original maturity (up to 1 year incl. incl.) - Assets - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:32,
1999-10,11766,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,10249,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,8902,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,15118,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,14796,
2004-01,14023,
2004-04,19296,
2004-07,23247,
2004-10,22180,
2005-01,19100,
2005-04,19344,
2005-07,20758,
2005-10,23294,
2006-01,22257,
2006-04,28651,
2006-07,25927,
2006-10,24353,
2007-01,28930,
2007-04,33347,
2007-07,36177,
2007-10,50615,
2008-01,49625,
2008-04,59439,
2008-07,58349,
2008-10,35523,
2009-01,31361,
2009-04,30281,
2009-07,27523,
2009-10,23183,
2010-01,23112,
2010-04,23226,
2010-07,21869,
2010-10,18054,
2011-01,21462,
2011-04,28177,
2011-07,31557,
2011-10,23293,
2012-01,27647,
2012-04,25764,
2012-07,27332,
2012-10,25962,
2013-01,27068,
2013-04,27526,
2013-07,27602,
2013-10,27649,
2014-01,34153,
2014-04,33787,
2014-07,30254,
