"",BBFB1.Q.N.DE.1A.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.1A.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:01,
1991-01,233.227,
1991-04,139.646,
1991-07,42.454,
1991-10,176.323,
1992-01,-131.752,
1992-04,52.431,
1992-07,232.321,
1992-10,438.082,
1993-01,390.138,
1993-04,1.371,
1993-07,351.740,
1993-10,-152.647,
1994-01,931.574,
1994-04,-710.901,
1994-07,-1112.599,
1994-10,-1446.711,
1995-01,2313.831,
1995-04,-907.976,
1995-07,326.244,
1995-10,-1231.817,
1996-01,-794.703,
1996-04,176.918,
1996-07,1734.366,
1996-10,-143.583,
1997-01,1790.420,
1997-04,766.425,
1997-07,-2892.739,
1997-10,-2448.493,
1998-01,-133.934,
1998-04,-1734.066,
1998-07,43.784,
1998-10,-1176.628,
1999-01,275.687,
1999-04,-69.266,
1999-07,44.253,
1999-10,-187.354,
2000-01,-163.184,
2000-04,123.697,
2000-07,-316.471,
2000-10,-518.856,
2001-01,979.130,
2001-04,123.294,
2001-07,56.110,
2001-10,-1263.417,
2002-01,-567.120,
2002-04,-2769.502,
2002-07,-1102.108,
2002-10,-1848.402,
2003-01,-1246.526,
2003-04,-1105.121,
2003-07,-1108.603,
2003-10,529.738,
2004-01,-4623.873,
2004-04,-3031.474,
2004-07,-4045.178,
2004-10,-3752.961,
2005-01,1661.334,
2005-04,-3507.864,
2005-07,-1366.477,
2005-10,-3958.441,
2006-01,-3723.699,
2006-04,-2864.228,
2006-07,-395.807,
2006-10,-4595.175,
2007-01,-5305.141,
2007-04,-3949.456,
2007-07,-2293.155,
2007-10,-6140.117,
2008-01,1561.394,
2008-04,-1671.054,
2008-07,1752.705,
2008-10,-72.765,
2009-01,-4026.613,
2009-04,4691.762,
2009-07,-2016.600,
2009-10,1073.699,
2010-01,-2294.786,
2010-04,-7306.736,
2010-07,-1696.426,
2010-10,2662.094,
2011-01,234.577,
2011-04,-912.359,
2011-07,843.020,
2011-10,293.280,
2012-01,2169.538,
2012-04,942.324,
2012-07,-3619.240,
2012-10,-4525.277,
2013-01,-50.231,
2013-04,953.563,
2013-07,-842.496,
2013-10,-2633.427,
2014-01,-855.031,Provisional value
2014-04,-299.173,Provisional value
2014-07,2549.443,Provisional value
2014-10,4509.480,Provisional value
