"",BBDE1.M.DE.Y.BAA1.A2R260050.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2R260050.G.C.I10.A_FLAGS
"","Output in the production sector / Germany / 26+27 Manufacture of computer, electronic, optical products and of electrical equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:41,
1991-01,60.3,
1991-02,61.0,
1991-03,61.1,
1991-04,60.6,
1991-05,59.5,
1991-06,62.3,
1991-07,60.0,
1991-08,58.6,
1991-09,59.8,
1991-10,59.5,
1991-11,59.8,
1991-12,60.0,
1992-01,60.0,
1992-02,60.1,
1992-03,59.6,
1992-04,59.0,
1992-05,58.9,
1992-06,56.9,
1992-07,56.7,
1992-08,57.4,
1992-09,55.3,
1992-10,55.4,
1992-11,54.9,
1992-12,54.2,
1993-01,54.2,
1993-02,52.9,
1993-03,52.7,
1993-04,52.4,
1993-05,52.5,
1993-06,52.3,
1993-07,50.9,
1993-08,53.0,
1993-09,52.4,
1993-10,53.4,
1993-11,52.9,
1993-12,54.3,
1994-01,53.7,
1994-02,53.5,
1994-03,54.6,
1994-04,55.2,
1994-05,55.1,
1994-06,55.9,
1994-07,55.6,
1994-08,55.4,
1994-09,56.8,
1994-10,57.0,
1994-11,56.9,
1994-12,57.9,
1995-01,54.6,
1995-02,55.3,
1995-03,54.1,
1995-04,55.1,
1995-05,56.0,
1995-06,55.7,
1995-07,55.5,
1995-08,54.6,
1995-09,55.8,
1995-10,54.3,
1995-11,55.3,
1995-12,55.7,
1996-01,56.3,
1996-02,56.0,
1996-03,55.6,
1996-04,55.1,
1996-05,55.4,
1996-06,55.2,
1996-07,55.4,
1996-08,55.9,
1996-09,57.0,
1996-10,55.2,
1996-11,56.0,
1996-12,55.7,
1997-01,56.6,
1997-02,57.1,
1997-03,57.9,
1997-04,58.1,
1997-05,55.5,
1997-06,59.6,
1997-07,60.7,
1997-08,58.8,
1997-09,60.3,
1997-10,60.8,
1997-11,61.2,
1997-12,60.8,
1998-01,62.0,
1998-02,62.1,
1998-03,63.0,
1998-04,63.4,
1998-05,63.0,
1998-06,62.2,
1998-07,64.0,
1998-08,62.6,
1998-09,62.9,
1998-10,63.2,
1998-11,61.7,
1998-12,61.8,
1999-01,63.0,
1999-02,61.0,
1999-03,61.1,
1999-04,62.3,
1999-05,62.9,
1999-06,64.0,
1999-07,66.1,
1999-08,65.1,
1999-09,66.7,
1999-10,65.6,
1999-11,66.7,
1999-12,67.9,
2000-01,67.1,
2000-02,69.0,
2000-03,69.9,
2000-04,70.3,
2000-05,72.8,
2000-06,72.0,
2000-07,74.2,
2000-08,74.6,
2000-09,77.2,
2000-10,76.7,
2000-11,76.6,
2000-12,81.1,
2001-01,77.9,
2001-02,79.0,
2001-03,78.2,
2001-04,75.5,
2001-05,76.1,
2001-06,76.1,
2001-07,74.0,
2001-08,74.5,
2001-09,72.5,
2001-10,70.2,
2001-11,72.0,
2001-12,71.5,
2002-01,70.5,
2002-02,70.1,
2002-03,70.7,
2002-04,70.9,
2002-05,69.0,
2002-06,71.7,
2002-07,70.6,
2002-08,73.4,
2002-09,71.4,
2002-10,72.2,
2002-11,73.3,
2002-12,71.2,
2003-01,71.7,
2003-02,71.3,
2003-03,71.6,
2003-04,71.4,
2003-05,70.3,
2003-06,70.0,
2003-07,72.0,
2003-08,72.5,
2003-09,72.4,
2003-10,75.0,
2003-11,74.9,
2003-12,75.6,
2004-01,75.9,
2004-02,75.8,
2004-03,75.2,
2004-04,76.0,
2004-05,78.3,
2004-06,76.9,
2004-07,79.4,
2004-08,79.0,
2004-09,78.5,
2004-10,78.9,
2004-11,78.2,
2004-12,78.8,
2005-01,81.0,
2005-02,80.7,
2005-03,81.1,
2005-04,82.8,
2005-05,82.0,
2005-06,84.3,
2005-07,84.9,
2005-08,84.1,
2005-09,85.9,
2005-10,88.1,
2005-11,88.3,
2005-12,89.0,
2006-01,92.9,
2006-02,90.5,
2006-03,91.4,
2006-04,93.4,
2006-05,93.5,
2006-06,95.0,
2006-07,93.9,
2006-08,100.0,
2006-09,95.9,
2006-10,97.8,
2006-11,100.1,
2006-12,100.9,
2007-01,99.6,
2007-02,102.2,
2007-03,102.9,
2007-04,101.9,
2007-05,103.4,
2007-06,103.9,
2007-07,105.8,
2007-08,106.2,
2007-09,108.0,
2007-10,108.3,
2007-11,109.4,
2007-12,110.1,
2008-01,110.9,
2008-02,111.8,
2008-03,113.0,
2008-04,112.3,
2008-05,111.4,
2008-06,111.6,
2008-07,110.2,
2008-08,111.9,
2008-09,107.7,
2008-10,105.3,
2008-11,103.8,
2008-12,98.0,
2009-01,86.6,
2009-02,85.9,
2009-03,84.1,
2009-04,80.5,
2009-05,82.3,
2009-06,82.2,
2009-07,83.2,
2009-08,84.8,
2009-09,86.5,
2009-10,88.7,
2009-11,88.8,
2009-12,89.8,
2010-01,89.7,
2010-02,91.4,
2010-03,93.1,
2010-04,96.2,
2010-05,99.5,
2010-06,100.5,
2010-07,100.3,
2010-08,101.8,
2010-09,101.8,
2010-10,105.2,
2010-11,104.8,
2010-12,106.5,
2011-01,107.8,
2011-02,108.8,
2011-03,108.3,
2011-04,109.4,
2011-05,110.2,
2011-06,109.2,
2011-07,113.2,
2011-08,113.5,
2011-09,111.1,
2011-10,110.4,
2011-11,110.7,
2011-12,110.1,
2012-01,109.2,
2012-02,109.8,
2012-03,109.4,
2012-04,108.5,
2012-05,109.9,
2012-06,109.6,
2012-07,110.2,
2012-08,108.2,
2012-09,106.5,
2012-10,104.8,
2012-11,104.0,
2012-12,104.8,
2013-01,105.2,
2013-02,104.3,
2013-03,110.8,
2013-04,105.2,
2013-05,106.5,
2013-06,107.8,
2013-07,103.1,
2013-08,104.8,
2013-09,105.0,
2013-10,104.8,
2013-11,107.3,
2013-12,107.0,
2014-01,107.0,
2014-02,109.6,
2014-03,110.1,
2014-04,109.5,
2014-05,107.4,
2014-06,107.6,
2014-07,109.2,
2014-08,108.8,
2014-09,108.5,
2014-10,108.3,Provisional value
2014-11,107.9,Provisional value
2014-12,110.2,Provisional value
