"",BBEX3.M.VUV.USD.CA.AC.A01,BBEX3.M.VUV.USD.CA.AC.A01_FLAGS
2007-01,109.840,
2007-02,108.290,
2007-03,107.080,
2007-04,104.800,
2007-05,105.240,
2007-06,103.840,
2007-07,101.540,
2007-08,105.290,
2007-09,101.690,
2007-10,99.060,
2007-11,100.490,
2007-12,100.640,
2008-01,99.480,
2008-02,96.940,
2008-03,96.340,
2008-04,96.040,
2008-05,95.740,
2008-06,95.940,
2008-07,97.190,
2008-08,101.340,
2008-09,105.240,
2008-10,115.610,
2008-11,118.780,
2008-12,113.810,
2009-01,119.140,
2009-02,120.340,
2009-03,116.500,
2009-04,113.320,
2009-05,107.610,
2009-06,105.620,
2009-07,104.650,
2009-08,102.880,
2009-09,100.650,
2009-10,98.010,
2009-11,98.165,
2009-12,99.455,
2010-01,100.185,
2010-02,101.100,
2010-03,99.580,
2010-04,99.260,
2010-05,104.335,
2010-06,103.015,
2010-07,101.300,
2010-08,101.960,
2010-09,96.955,
2010-10,96.370,
2010-11,96.400,
2010-12,94.925,
2011-01,95.580,
2011-02,94.985,
2011-03,93.780,
2011-04,90.130,
2011-05,91.260,
2011-06,91.010,
2011-07,89.310,
2011-08,90.555,
2011-09,96.025,
2011-10,90.905,
2011-11,96.240,
2011-12,94.925,
2012-01,92.320,
2012-02,91.170,
2012-03,93.440,
2012-04,93.145,
2012-05,97.245,
2012-06,96.115,
2012-07,94.690,
2012-08,94.890,
2012-09,93.390,
2012-10,93.800,
2012-11,93.490,
2012-12,93.565,
2013-01,92.790,
2013-02,94.260,
2013-03,93.575,
2013-04,93.420,
2013-05,96.905,
2013-06,98.960,
2013-07,99.355,
2013-08,100.350,
2013-09,97.615,
2013-10,96.740,
2013-11,98.770,
2013-12,99.205,
2014-01,100.030,
2014-02,98.745,
2014-03,97.040,
2014-04,97.090,
2014-05,97.145,
2014-06,96.205,
2014-07,97.205,
2014-08,97.390,
2014-09,101.725,
2014-10,101.080,
2014-11,102.575,
2014-12,104.775,
2015-01,108.775,
"","Source: Calculated on the basis of the buying and selling rates of the following banks:  Since December 2009 National Bank of Vanuatu, Port Vila  January 2006 - November 2009 Australia and New Zealand Banking Group (ANZ), Port Vila  April 1998 - December 2005 Westpac Banking Corporation, Port Vila  January 1990 - March 1998 Reserve Bank of Vanuatu, Port Vila",
