"",BBFB1.Q.N.DE.TR.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.TR.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:48,
1991-01,-0.198,
1991-04,0.157,
1991-07,0.045,
1991-10,-0.020,
1992-01,-0.223,
1992-04,0.063,
1992-07,-0.091,
1992-10,-0.407,
1993-01,0.190,
1993-04,0.026,
1993-07,0.420,
1993-10,-0.348,
1994-01,0.287,
1994-04,-1.363,
1994-07,0.503,
1994-10,0.070,
1995-01,0.155,
1995-04,0.591,
1995-07,0.626,
1995-10,0.091,
1996-01,0.064,
1996-04,0.277,
1996-07,-0.916,
1996-10,1.378,
1997-01,0.042,
1997-04,-0.244,
1997-07,0.125,
1997-10,0.126,
1998-01,-0.350,
1998-04,-0.028,
1998-07,0.170,
1998-10,-5.368,
1999-01,0.152,
1999-04,-0.421,
1999-07,-2.786,
1999-10,-0.741,
2000-01,-0.102,
2000-04,13.980,
2000-07,-12.461,
2000-10,-0.921,
2001-01,0.064,
2001-04,-0.445,
2001-07,-1.647,
2001-10,-3.006,
2002-01,-13.894,
2002-04,3.372,
2002-07,-5.407,
2002-10,-2.267,
2003-01,-4.214,
2003-04,-2.880,
2003-07,-4.424,
2003-10,-2.630,
2004-01,-4.369,
2004-04,-4.974,
2004-07,-5.267,
2004-10,-1.885,
2005-01,-0.098,
2005-04,-0.063,
2005-07,0.622,
2005-10,-1.184,
2006-01,-1.284,
2006-04,1.183,
2006-07,0.316,
2006-10,4.621,
2007-01,-19.274,
2007-04,7.283,
2007-07,1.650,
2007-10,4.062,
2008-01,-51.299,
2008-04,-0.730,
2008-07,-8.352,
2008-10,-2.454,
2009-01,-47.798,
2009-04,-21.633,
2009-07,-16.458,
2009-10,-20.782,
2010-01,-46.904,
2010-04,-42.141,
2010-07,-28.073,
2010-10,-6.237,
2011-01,-38.995,
2011-04,-34.703,
2011-07,-8.211,
2011-10,-20.022,
2012-01,-7.337,
2012-04,-21.552,
2012-07,-6.292,
2012-10,-24.156,
2013-01,-10.203,
2013-04,-23.702,
2013-07,-11.386,
2013-10,-18.726,
2014-01,-11.449,Provisional value
2014-04,-18.748,Provisional value
2014-07,-34.715,Provisional value
2014-10,-61.596,Provisional value
