"",BBFB1.Q.N.DE.B5.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:26,
1991-01,2114.502,
1991-04,-7575.431,
1991-07,-3122.261,
1991-10,12453.759,
1992-01,-2979.156,
1992-04,-7469.144,
1992-07,-2291.110,
1992-10,14822.376,
1993-01,22989.036,
1993-04,14987.110,
1993-07,5990.606,
1993-10,43890.608,
1994-01,-14517.664,
1994-04,-16869.535,
1994-07,391.909,
1994-10,23888.447,
1995-01,5214.907,
1995-04,15639.889,
1995-07,-4334.069,
1995-10,984.655,
1996-01,-7912.354,
1996-04,527.994,
1996-07,-8164.648,
1996-10,27726.880,
1997-01,8772.161,
1997-04,8369.512,
1997-07,-1581.856,
1997-10,22545.665,
1998-01,26836.187,
1998-04,13681.550,
1998-07,8052.669,
1998-10,7863.402,
1999-01,44719.569,
1999-04,-7688.809,
1999-07,22557.401,
1999-10,-5677.914,
2000-01,22376.928,
2000-04,14413.483,
2000-07,20427.718,
2000-10,-17765.132,
2001-01,79714.085,
2001-04,-17238.174,
2001-07,37937.519,
2001-10,-10015.656,
2002-01,17007.625,
2002-04,50021.908,
2002-07,55086.458,
2002-10,16608.850,
2003-01,68731.773,
2003-04,31270.077,
2003-07,1867.076,
2003-10,12053.491,
2004-01,68020.520,
2004-04,-33622.630,
2004-07,75445.963,
2004-10,32361.516,
2005-01,63223.986,
2005-04,18926.390,
2005-07,22768.539,
2005-10,-24055.884,
2006-01,99147.475,
2006-04,22849.572,
2006-07,31233.477,
2006-10,-531.993,
2007-01,63620.271,
2007-04,99028.462,
2007-07,40322.589,
2007-10,29380.663,
2008-01,112114.194,
2008-04,-5648.729,
2008-07,36919.556,
2008-10,-28051.626,
2009-01,-23425.767,
2009-04,25727.658,
2009-07,-53216.138,
2009-10,15709.228,
2010-01,28841.395,
2010-04,70949.308,
2010-07,63819.868,
2010-10,-34064.800,
2011-01,5611.939,
2011-04,35787.249,
2011-07,151799.803,
2011-10,-55670.892,
2012-01,179710.265,
2012-04,100344.517,
2012-07,-26505.931,
2012-10,-91746.938,
2013-01,-41546.473,
2013-04,-6299.080,
2013-07,-47874.370,
2013-10,-69928.233,
2014-01,-331.566,Provisional value
2014-04,4063.074,Provisional value
2014-07,11798.752,Provisional value
2014-10,-76038.825,Provisional value
