"",BBNZ1.Q.DE.N.G.0106.A,BBNZ1.Q.DE.N.G.0106.A_FLAGS
"",Germany / National accounts / Use of GDP / Government consumption / At current prices,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-24 08:20:33,
1991-01,64.348,
1991-04,70.152,
1991-07,72.317,
1991-10,86.747,
1992-01,72.596,
1992-04,76.002,
1992-07,80.464,
1992-10,94.218,
1993-01,77.308,
1993-04,80.264,
1993-07,82.484,
1993-10,94.851,
1994-01,81.363,
1994-04,82.742,
1994-07,85.521,
1994-10,100.092,
1995-01,83.473,
1995-04,86.340,
1995-07,90.253,
1995-10,104.290,
1996-01,87.591,
1996-04,89.364,
1996-07,92.263,
1996-10,105.474,
1997-01,89.453,
1997-04,90.530,
1997-07,91.507,
1997-10,103.771,
1998-01,89.659,
1998-04,91.269,
1998-07,93.048,
1998-10,106.065,
1999-01,92.493,
1999-04,93.627,
1999-07,96.505,
1999-10,108.729,
2000-01,94.648,
2000-04,94.420,
2000-07,96.130,
2000-10,110.466,
2001-01,96.164,
2001-04,96.260,
2001-07,98.226,
2001-10,114.766,
2002-01,98.660,
2002-04,99.322,
2002-07,101.467,
2002-10,117.287,
2003-01,100.028,
2003-04,100.451,
2003-07,103.996,
2003-10,116.737,
2004-01,100.529,
2004-04,101.042,
2004-07,102.981,
2004-10,114.649,
2005-01,100.749,
2005-04,102.737,
2005-07,103.796,
2005-10,115.874,
2006-01,103.757,
2006-04,103.923,
2006-07,105.161,
2006-10,117.734,
2007-01,105.840,
2007-04,106.444,
2007-07,107.415,
2007-10,120.598,
2008-01,109.553,
2008-04,111.813,
2008-07,111.686,
2008-10,124.976,
2009-01,115.983,
2009-04,116.783,
2009-07,118.798,
2009-10,129.874,
2010-01,120.662,
2010-04,119.367,
2010-07,120.953,
2010-10,132.919,
2011-01,123.042,
2011-04,122.913,
2011-07,123.375,
2011-10,136.392,
2012-01,126.158,
2012-04,126.956,
2012-07,127.461,
2012-10,140.715,
2013-01,131.442,
2013-04,131.207,
2013-07,133.295,
2013-10,145.264,
2014-01,136.094,
2014-04,136.477,
2014-07,138.395,
2014-10,150.496,
