"",BBK01.TUB629,BBK01.TUB629_FLAGS
"",Liabilities to other euro area residents denominated in euro / Deutsche Bundesbank,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-02 10:43:11,
2002-01,988,
2002-02,619,
2002-03,608,
2002-04,531,
2002-05,601,
2002-06,562,
2002-07,563,
2002-08,515,
2002-09,559,
2002-10,574,
2002-11,786,
2002-12,640,
2003-01,535,
2003-02,545,
2003-03,486,
2003-04,509,
2003-05,485,
2003-06,514,
2003-07,520,
2003-08,450,
2003-09,502,
2003-10,491,
2003-11,586,
2003-12,559,
2004-01,441,
2004-02,706,
2004-03,749,
2004-04,451,
2004-05,445,
2004-06,486,
2004-07,435,
2004-08,461,
2004-09,460,
2004-10,482,
2004-11,713,
2004-12,394,
2005-01,406,
2005-02,404,
2005-03,373,
2005-04,423,
2005-05,389,
2005-06,419,
2005-07,415,
2005-08,418,
2005-09,440,
2005-10,532,
2005-11,430,
2005-12,404,
2006-01,403,
2006-02,584,
2006-03,409,
2006-04,441,
2006-05,456,
2006-06,510,
2006-07,485,
2006-08,422,
2006-09,506,
2006-10,489,
2006-11,408,
2006-12,404,
2007-01,427,
2007-02,462,
2007-03,392,
2007-04,390,
2007-05,434,
2007-06,424,
2007-07,356,
2007-08,348,
2007-09,405,
2007-10,490,
2007-11,436,
2007-12,448,
2008-01,809,
2008-02,556,
2008-03,591,
2008-04,699,
2008-05,467,
2008-06,463,
2008-07,406,
2008-08,367,
2008-09,687,
2008-10,7923,
2008-11,2916,
2008-12,1085,
2009-01,2620,
2009-02,12545,
2009-03,15734,
2009-04,30795,
2009-05,36776,
2009-06,23715,
2009-07,23907,
2009-08,23962,
2009-09,24022,
2009-10,24002,
2009-11,16011,
2009-12,10352,
2010-01,4111,
2010-02,732,
2010-03,626,
2010-04,696,
2010-05,870,
2010-06,563,
2010-07,999,
2010-08,1019,
2010-09,1045,
2010-10,896,
2010-11,874,
2010-12,928,
2011-01,2037,
2011-02,644,
2011-03,637,
2011-04,844,
2011-05,608,
2011-06,1061,
2011-07,635,
2011-08,678,
2011-09,900,
2011-10,1113,
2011-11,1541,
2011-12,5501,
2012-01,1393,
2012-02,2769,
2012-03,3401,
2012-04,1953,
2012-05,2608,
2012-06,3151,
2012-07,19524,
2012-08,17562,
2012-09,17284,
2012-10,50731,
2012-11,47246,
2012-12,39929,
2013-01,25919,
2013-02,22354,
2013-03,10882,
2013-04,28659,
2013-05,20647,
2013-06,8096,
2013-07,12497,
2013-08,10553,
2013-09,13539,
2013-10,32969,
2013-11,19096,
2013-12,10466,
2014-01,9492,
2014-02,11842,
2014-03,8370,
2014-04,26584,
2014-05,24716,
2014-06,18910,
2014-07,14247,
2014-08,12817,
2014-09,15071,
2014-10,21839,
2014-11,24658,
2014-12,9870,
