"",BBK01.OEHJ04R,BBK01.OEHJ04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:35,
2002-01,0.129,
2002-04,0.124,
2002-07,0.137,
2002-10,0.145,
2003-01,0.134,
2003-04,0.131,
2003-07,0.136,
2003-10,0.141,
2004-01,0.135,
2004-04,0.135,
2004-07,0.128,
2004-10,0.133,
2005-01,0.124,
2005-04,0.114,
2005-07,0.113,
2005-10,0.106,
2006-01,0.114,
2006-04,0.119,
2006-07,0.124,
2006-10,0.106,
2007-01,0.106,
2007-04,0.113,
2007-07,0.120,
2007-10,0.121,
2008-01,0.126,
2008-04,0.129,
2008-07,0.131,
2008-10,0.146,
2009-01,0.121,
2009-04,0.108,
2009-07,0.114,
2009-10,0.109,
2010-01,0.108,
2010-04,0.104,
2010-07,0.116,
2010-10,0.109,
2011-01,0.119,
2011-04,0.134,
2011-07,0.138,
2011-10,0.123,
2012-01,0.094,
2012-04,0.090,
2012-07,0.092,
2012-10,0.078,
2013-01,0.080,
2013-04,0.075,
2013-07,0.070,
2013-10,0.068,
2014-01,0.069,
2014-04,0.061,
2014-07,0.057,
