"",BBK01.OELM08H,BBK01.OELM08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:10,
2002-01,0.071,
2002-04,0.068,
2002-07,0.065,
2002-10,0.065,
2003-01,0.063,
2003-04,0.062,
2003-07,0.060,
2003-10,0.063,
2004-01,0.061,
2004-04,0.062,
2004-07,0.067,
2004-10,0.073,
2005-01,0.074,
2005-04,0.077,
2005-07,0.079,
2005-10,0.083,
2006-01,0.081,
2006-04,0.075,
2006-07,0.076,
2006-10,0.079,
2007-01,0.070,
2007-04,0.068,
2007-07,0.063,
2007-10,0.053,
2008-01,0.051,
2008-04,0.050,
2008-07,0.049,
2008-10,0.049,
2009-01,0.055,
2009-04,0.057,
2009-07,0.074,
2009-10,0.091,
2010-01,0.096,
2010-04,0.107,
2010-07,0.121,
2010-10,0.127,
2011-01,0.135,
2011-04,0.143,
2011-07,0.141,
2011-10,0.163,
2012-01,0.138,
2012-04,0.153,
2012-07,0.169,
2012-10,0.172,
2013-01,0.200,
2013-04,0.211,
2013-07,0.233,
2013-10,0.230,
2014-01,0.265,
2014-04,0.269,
2014-07,0.265,
