"",BBK01.OEBO01S,BBK01.OEBO01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:27,
2002-01,1.124,
2002-04,1.078,
2002-07,0.951,
2002-10,0.951,
2003-01,0.956,
2003-04,0.914,
2003-07,0.876,
2003-10,0.902,
2004-01,0.867,
2004-04,0.830,
2004-07,0.804,
2004-10,0.812,
2005-01,1.770,
2005-04,1.805,
2005-07,1.794,
2005-10,1.778,
2006-01,1.794,
2006-04,1.820,
2006-07,1.817,
2006-10,1.749,
2007-01,1.765,
2007-04,1.905,
2007-07,1.934,
2007-10,1.951,
2008-01,2.048,
2008-04,2.095,
2008-07,2.152,
2008-10,2.150,
2009-01,2.272,
2009-04,2.257,
2009-07,2.262,
2009-10,2.317,
2010-01,2.305,
2010-04,2.262,
2010-07,2.209,
2010-10,2.213,
2011-01,2.307,
2011-04,2.352,
2011-07,2.331,
2011-10,2.327,
2012-01,2.321,
2012-04,2.391,
2012-07,2.375,
2012-10,2.358,
2013-01,2.370,
2013-04,2.321,
2013-07,2.268,
2013-10,2.235,
2014-01,2.230,
2014-04,2.208,
2014-07,2.155,
