"",BBK01.OEAH46S,BBK01.OEAH46S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:23,
2002-01,0.248,
2002-04,0.237,
2002-07,0.216,
2002-10,0.192,
2003-01,0.178,
2003-04,0.156,
2003-07,0.156,
2003-10,0.148,
2004-01,0.149,
2004-04,0.141,
2004-07,0.137,
2004-10,0.144,
2005-01,0.140,
2005-04,0.139,
2005-07,0.141,
2005-10,0.134,
2006-01,0.152,
2006-04,0.144,
2006-07,0.140,
2006-10,0.151,
2007-01,0.150,
2007-04,0.156,
2007-07,0.169,
2007-10,0.187,
2008-01,0.207,
2008-04,0.220,
2008-07,0.284,
2008-10,0.287,
2009-01,0.201,
2009-04,0.165,
2009-07,0.126,
2009-10,0.115,
2010-01,0.114,
2010-04,0.106,
2010-07,0.088,
2010-10,0.083,
2011-01,0.092,
2011-04,0.084,
2011-07,0.094,
2011-10,0.097,
2012-01,0.103,
2012-04,0.100,
2012-07,0.094,
2012-10,0.090,
2013-01,0.086,
2013-04,0.083,
2013-07,0.085,
2013-10,0.079,
2014-01,0.081,
2014-04,0.077,
2014-07,0.076,
