"",BBFN1.M.DE.N.1.L.VN.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.VN.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Vietnam,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:12,
1994-07,0.006,
1994-08,0.005,
1994-09,0.007,
1994-10,0.007,
1994-11,0.008,
1994-12,0.009,
1995-01,0.007,
1995-02,0.007,
1995-03,0.006,
1995-04,0.006,
1995-05,0.007,
1995-06,0.011,
1995-07,0.012,
1995-08,0.014,
1995-09,0.016,
1995-10,0.013,
1995-11,0.019,
1995-12,0.021,
1996-01,0.022,
1996-02,0.028,
1996-03,0.029,
1996-04,0.027,
1996-05,0.030,
1996-06,0.029,
1996-07,0.028,
1996-08,0.022,
1996-09,0.022,
1996-10,0.024,
1996-11,0.021,
1996-12,0.025,
1997-01,0.021,
1997-02,0.020,
1997-03,0.028,
1997-04,0.030,
1997-05,0.032,
1997-06,0.033,
1997-07,0.036,
1997-08,0.041,
1997-09,0.037,
1997-10,0.037,
1997-11,0.041,
1997-12,0.041,
1998-01,0.048,
1998-02,0.050,
1998-03,0.055,
1998-04,0.059,
1998-05,0.064,
1998-06,0.039,
1998-07,0.043,
1998-08,0.057,
1998-09,0.051,
1998-10,0.052,
1998-11,0.079,
1998-12,0.077,
1999-01,0.074,
1999-02,0.088,
1999-03,0.056,
1999-04,0.038,
1999-05,0.032,
1999-06,0.038,
1999-07,0.034,
1999-08,0.032,
1999-09,0.023,
1999-10,0.023,
1999-11,0.028,
1999-12,0.021,
2000-01,0.036,
2000-02,0.037,
2000-03,0.036,
2000-04,0.039,
2000-05,0.042,
2000-06,0.041,
2000-07,0.047,
2000-08,0.044,
2000-09,0.044,
2000-10,0.044,
2000-11,0.045,
2000-12,0.037,
2001-01,0.036,
2001-02,0.034,
2001-03,0.050,
2001-04,0.067,
2001-05,0.063,
2001-06,0.090,
2001-07,0.034,
2001-08,0.090,
2001-09,0.093,
2001-10,0.095,
2001-11,0.102,
2001-12,0.093,
2002-01,0.099,
2002-02,0.099,
2002-03,0.121,
2002-04,0.044,
2002-05,0.126,
2002-06,0.131,
2002-07,0.138,
2002-08,0.136,
2002-09,0.144,
2002-10,0.153,
2002-11,0.158,
2002-12,0.173,
2003-01,0.263,
2003-02,0.266,
2003-03,0.265,
2003-04,0.294,
2003-05,0.301,
2003-06,0.302,
2003-07,0.300,
2003-08,0.309,
2003-09,0.312,
2003-10,0.327,
2003-11,0.323,
2003-12,0.326,
2004-01,0.326,
2004-02,0.341,
2004-03,0.084,
2004-04,0.091,
2004-05,0.096,
2004-06,0.108,
2004-07,0.107,
2004-08,0.105,
2004-09,0.103,
2004-10,0.100,
2004-11,0.098,
2004-12,0.124,
2005-01,0.108,
2005-02,0.109,
2005-03,0.127,
2005-04,0.129,
2005-05,0.131,
2005-06,0.135,
2005-07,0.138,
2005-08,0.136,
2005-09,0.150,
2005-10,0.151,
2005-11,0.173,
2005-12,0.198,
2006-01,0.187,
2006-02,0.202,
2006-03,0.216,
2006-04,0.217,
2006-05,0.254,
2006-06,0.261,
2006-07,0.292,
2006-08,0.258,
2006-09,0.296,
2006-10,0.296,
2006-11,0.314,
2006-12,0.312,
2007-01,0.334,
2007-02,0.370,
2007-03,0.383,
2007-04,0.388,
2007-05,0.430,
2007-06,0.358,
2007-07,0.380,
2007-08,0.388,
2007-09,0.386,
2007-10,0.383,
2007-11,0.393,
2007-12,0.394,
2008-01,0.405,
2008-02,0.407,
2008-03,0.413,
2008-04,0.410,
2008-05,0.413,
2008-06,0.430,
2008-07,0.435,
2008-08,0.354,
2008-09,0.366,
2008-10,0.374,
2008-11,0.363,
2008-12,0.210,
2009-01,0.203,
2009-02,0.216,
2009-03,0.229,
2009-04,0.241,
2009-05,0.179,
2009-06,0.178,
2009-07,0.201,
2009-08,0.190,
2009-09,0.205,
2009-10,0.203,
2009-11,0.245,
2009-12,0.242,
2010-01,0.258,
2010-02,0.258,
2010-03,0.263,
2010-04,0.265,
2010-05,0.275,
2010-06,0.322,
2010-07,0.332,
2010-08,0.403,
2010-09,0.416,
2010-10,0.424,
2010-11,0.418,
2010-12,0.448,
2011-01,0.475,
2011-02,0.468,
2011-03,0.343,
2011-04,0.359,
2011-05,0.409,
2011-06,0.419,
2011-07,0.418,
2011-08,0.442,
2011-09,0.394,
2011-10,0.268,
2011-11,0.272,
2011-12,0.262,
2012-01,0.259,
2012-02,0.271,
2012-03,0.285,
2012-04,0.281,
2012-05,0.244,
2012-06,0.255,
2012-07,0.265,
2012-08,0.267,
2012-09,0.244,
2012-10,0.250,
2012-11,0.282,
2012-12,0.270,
2013-01,0.281,
2013-02,0.303,
2013-03,0.308,
2013-04,0.301,
2013-05,0.298,
2013-06,0.307,
2013-07,0.308,
2013-08,0.319,
2013-09,0.303,
2013-10,0.342,
2013-11,0.353,
2013-12,0.346,
2014-01,0.363,
2014-02,0.351,
2014-03,0.312,
2014-04,0.324,
2014-05,0.333,
2014-06,0.347,
2014-07,0.337,
2014-08,0.344,
2014-09,0.353,
2014-10,0.364,
2014-11,0.377,
2014-12,0.377,
