"",BBK01.OELL09R,BBK01.OELL09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:36,
2002-01,0.104,
2002-04,0.106,
2002-07,0.110,
2002-10,0.091,
2003-01,0.082,
2003-04,0.079,
2003-07,0.073,
2003-10,0.079,
2004-01,0.089,
2004-04,0.097,
2004-07,0.120,
2004-10,0.129,
2005-01,0.144,
2005-04,0.143,
2005-07,0.135,
2005-10,0.121,
2006-01,0.108,
2006-04,0.123,
2006-07,0.128,
2006-10,0.149,
2007-01,0.152,
2007-04,0.141,
2007-07,0.143,
2007-10,0.129,
2008-01,0.135,
2008-04,0.127,
2008-07,0.117,
2008-10,0.112,
2009-01,0.109,
2009-04,0.122,
2009-07,0.150,
2009-10,0.175,
2010-01,0.195,
2010-04,0.199,
2010-07,0.184,
2010-10,0.166,
2011-01,0.142,
2011-04,0.134,
2011-07,0.130,
2011-10,0.110,
2012-01,0.132,
2012-04,0.127,
2012-07,0.120,
2012-10,0.122,
2013-01,0.121,
2013-04,0.119,
2013-07,0.113,
2013-10,0.106,
2014-01,0.097,
2014-04,0.085,
2014-07,0.076,
