"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.CA.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.CA.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Canada / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:57,
2009-09,813,
2009-10,795,
2009-11,792,
2009-12,790,
2010-01,778,
2010-02,796,
2010-03,794,
2010-04,803,
2010-05,774,
2010-06,722,
2010-07,731,
2010-08,725,
2010-09,650,
2010-10,633,
2010-11,623,
2010-12,610,
2011-01,594,
2011-02,560,
2011-03,526,
2011-04,517,
2011-05,458,
2011-06,455,
2011-07,446,
2011-08,458,
2011-09,467,
2011-10,465,
2011-11,459,
2011-12,459,
2012-01,454,
2012-02,448,
2012-03,425,
2012-04,436,
2012-05,435,
2012-06,411,
2012-07,375,
2012-08,379,
2012-09,398,
2012-10,406,
2012-11,333,
2012-12,324,
2013-01,286,
2013-02,287,
2013-03,282,
2013-04,279,
2013-05,273,
2013-06,269,
2013-07,495,
2013-08,604,
2013-09,620,
2013-10,759,
2013-11,767,
2013-12,811,
2014-01,848,
2014-02,865,
2014-03,1131,
2014-04,1161,
2014-05,1204,
2014-06,1234,
2014-07,1303,
2014-08,1328,
2014-09,1372,
2014-10,1576,
2014-11,1637,
