"",BBK01.OEAJ03U,BBK01.OEAJ03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:15,
2002-01,1.206,
2002-04,1.087,
2002-07,1.096,
2002-10,1.118,
2003-01,1.049,
2003-04,0.951,
2003-07,1.001,
2003-10,1.004,
2004-01,0.967,
2004-04,0.818,
2004-07,0.843,
2004-10,0.855,
2005-01,0.756,
2005-04,0.768,
2005-07,0.798,
2005-10,0.883,
2006-01,0.883,
2006-04,0.881,
2006-07,0.963,
2006-10,1.024,
2007-01,1.157,
2007-04,1.155,
2007-07,1.304,
2007-10,1.372,
2008-01,1.483,
2008-04,1.553,
2008-07,1.847,
2008-10,1.609,
2009-01,1.536,
2009-04,1.505,
2009-07,1.311,
2009-10,1.243,
2010-01,1.293,
2010-04,1.328,
2010-07,1.306,
2010-10,1.380,
2011-01,1.490,
2011-04,1.612,
2011-07,1.638,
2011-10,1.862,
2012-01,2.099,
2012-04,2.024,
2012-07,1.982,
2012-10,1.982,
2013-01,1.915,
2013-04,2.051,
2013-07,2.070,
2013-10,1.991,
2014-01,2.185,
2014-04,2.279,
2014-07,2.000,
