"",BBK01.OEBK02P,BBK01.OEBK02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:59,
2002-01,0.051,
2002-04,0.053,
2002-07,0.053,
2002-10,0.053,
2003-01,0.054,
2003-04,0.050,
2003-07,0.051,
2003-10,0.051,
2004-01,0.064,
2004-04,0.064,
2004-07,0.065,
2004-10,0.060,
2005-01,0.068,
2005-04,0.072,
2005-07,0.076,
2005-10,0.098,
2006-01,0.082,
2006-04,0.077,
2006-07,0.068,
2006-10,0.067,
2007-01,0.066,
2007-04,0.067,
2007-07,0.071,
2007-10,0.068,
2008-01,0.064,
2008-04,0.063,
2008-07,0.062,
2008-10,0.068,
2009-01,0.075,
2009-04,0.082,
2009-07,0.086,
2009-10,0.091,
2010-01,0.091,
2010-04,0.092,
2010-07,0.100,
2010-10,0.106,
2011-01,0.100,
2011-04,0.106,
2011-07,0.120,
2011-10,0.109,
2012-01,0.120,
2012-04,0.118,
2012-07,0.126,
2012-10,0.129,
2013-01,0.153,
2013-04,0.160,
2013-07,0.165,
2013-10,0.170,
2014-01,0.174,
2014-04,0.167,
2014-07,0.170,
