"",BBFB1.Q.N.DE.A1.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:13,
1991-01,6.757,
1991-04,57.553,
1991-07,74.615,
1991-10,-11.566,
1992-01,-827.229,
1992-04,-824.398,
1992-07,-819.172,
1992-10,-1303.640,
1993-01,-283.125,
1993-04,-275.302,
1993-07,-297.946,
1993-10,-281.025,
1994-01,189.496,
1994-04,190.339,
1994-07,177.469,
1994-10,119.722,
1995-01,-23.225,
1995-04,-25.402,
1995-07,-27.331,
1995-10,-47.387,
1996-01,-422.973,
1996-04,-426.534,
1996-07,-424.045,
1996-10,-468.431,
1997-01,-12.368,
1997-04,-36.151,
1997-07,-38.588,
1997-10,-47.614,
1998-01,-68.863,
1998-04,-65.073,
1998-07,-369.219,
1998-10,-80.537,
1999-01,-589.588,
1999-04,-595.240,
1999-07,-623.650,
1999-10,-606.000,
2000-01,279.710,
2000-04,275.276,
2000-07,273.857,
2000-10,254.994,
2001-01,-203.515,
2001-04,-1114.085,
2001-07,-165.047,
2001-10,-966.007,
2002-01,89.551,
2002-04,195.861,
2002-07,221.006,
2002-10,4.827,
2003-01,291.416,
2003-04,-312.846,
2003-07,376.605,
2003-10,402.623,
2004-01,-1463.997,
2004-04,-1895.368,
2004-07,-1569.896,
2004-10,-1606.930,
2005-01,-1029.951,
2005-04,-411.880,
2005-07,168.785,
2005-10,-426.708,
2006-01,626.559,
2006-04,-362.210,
2006-07,674.905,
2006-10,688.236,
2007-01,995.126,
2007-04,238.094,
2007-07,447.233,
2007-10,-209.228,
2008-01,4094.651,
2008-04,-3373.893,
2008-07,-4557.254,
2008-10,-1812.901,
2009-01,-118.456,
2009-04,-204.696,
2009-07,359.618,
2009-10,850.281,
2010-01,361.339,
2010-04,77.089,
2010-07,449.155,
2010-10,-62.959,
2011-01,623.678,
2011-04,-30.783,
2011-07,640.738,
2011-10,257.395,
2012-01,704.495,
2012-04,687.817,
2012-07,749.122,
2012-10,522.676,
2013-01,737.497,
2013-04,874.520,
2013-07,721.444,
2013-10,789.184,
2014-01,866.708,Provisional value
2014-04,870.765,Provisional value
2014-07,849.186,Provisional value
2014-10,690.138,Provisional value
