"",BBFB1.Q.N.DE.TW.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.TW.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Taiwan, Province of China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:26,
1991-01,-4.225,
1991-04,-1.688,
1991-07,-3.999,
1991-10,-3.076,
1992-01,-1.586,
1992-04,-0.930,
1992-07,-0.402,
1992-10,-2.200,
1993-01,-45.095,
1993-04,7.038,
1993-07,2.462,
1993-10,0.324,
1994-01,-4.746,
1994-04,1.263,
1994-07,-0.748,
1994-10,-0.413,
1995-01,0.565,
1995-04,10.353,
1995-07,18.360,
1995-10,35.663,
1996-01,34.932,
1996-04,50.559,
1996-07,-8.173,
1996-10,9.002,
1997-01,0.373,
1997-04,-0.362,
1997-07,1.420,
1997-10,-1.519,
1998-01,-0.681,
1998-04,-9.189,
1998-07,-11.202,
1998-10,-5.118,
1999-01,-1.389,
1999-04,-0.249,
1999-07,-18.329,
1999-10,-8.643,
2000-01,-14.432,
2000-04,-11.969,
2000-07,1.181,
2000-10,-9.825,
2001-01,-20.768,
2001-04,-6.513,
2001-07,-5.916,
2001-10,-24.802,
2002-01,-7.957,
2002-04,-13.166,
2002-07,-9.389,
2002-10,-7.827,
2003-01,-5.839,
2003-04,6.572,
2003-07,7.991,
2003-10,1.308,
2004-01,4.873,
2004-04,20.089,
2004-07,0.702,
2004-10,-2.238,
2005-01,-7.999,
2005-04,-8.273,
2005-07,30.921,
2005-10,-0.190,
2006-01,-6.119,
2006-04,62.855,
2006-07,82.888,
2006-10,-47.185,
2007-01,-5.424,
2007-04,-11.070,
2007-07,-7.970,
2007-10,-44.114,
2008-01,-28.110,
2008-04,-9.575,
2008-07,-2.360,
2008-10,-2.126,
2009-01,-1.974,
2009-04,-1.905,
2009-07,-1.940,
2009-10,-6.978,
2010-01,-0.021,
2010-04,-0.008,
2010-07,23.739,
2010-10,-23.645,
2011-01,-0.852,
2011-04,-0.001,
2011-07,6.712,
2011-10,-18.941,
2012-01,0.114,
2012-04,-0.013,
2012-07,1.095,
2012-10,-0.240,
2013-01,3.545,
2013-04,-56.920,
2013-07,-0.119,
2013-10,5.292,
2014-01,3.105,Provisional value
2014-04,6.796,Provisional value
2014-07,-14.026,Provisional value
2014-10,3.740,Provisional value
